date,open,high,low,close,volume
2025-11-16,15500,15590,15377,15590,523825
2025-11-17,15545,15670,15424,15424,249485
2025-11-18,15604,15604,15552,15552,3040602
2025-11-19,15705,15990,15688,15688,2093493
2025-11-22,15775,15990,15700,15820,2228110
2025-11-23,16072,16300,16072,16300,17790079
2025-11-25,16690,16690,16340,16385,2901222
2025-11-26,16327,16687,16164,16290,4224087
2025-11-29,16418,16470,16225,16235,4091604
2025-11-30,16294,16446,16235,16444,1780110
2025-12-01,16534,16730,16534,16554,1299306
2025-12-02,16620,16912,16620,16912,665447
2025-12-03,16913,17194,16913,17012,382127
2025-12-06,16993,17460,16993,17206,357493
2025-12-07,17229,17405,17020,17020,202020
2025-12-08,17185,17230,17135,17135,185982
2025-12-09,17125,17195,17125,17165,113548
2025-12-10,17230,17677,17230,17590,122587
2025-12-13,17721,18024,17721,17816,165191
2025-12-14,17754,18099,17600,17879,1476504
2025-12-15,17915,18263,17915,18263,896170
2025-12-16,18267,18557,17486,17902,1469654
2025-12-17,18419,18740,18090,18560,188563
2025-12-20,18920,19101,18920,19101,2503922
2025-12-21,19597,19597,19150,19380,1640163
2025-12-22,19576,19800,19386,19386,1321911
2025-12-23,20008,20008,19512,19799,720058
2025-12-24,20083,20284,19953,20284,2685334
2025-12-27,20797,20891,20612,20841,10194698
2025-12-28,20905,21446,20898,20960,3189479
2025-12-29,20940,20940,20366,20366,2717232
2025-12-30,20532,20532,19987,19987,1415273
2025-12-31,20003,20716,20003,20716,2141438
2026-01-04,21005,21061,20288,20601,1091299
2026-01-05,21308,21308,21308,21308,57096743
2026-01-06,21947,21947,21947,21947,4240729
2026-01-07,22605,22605,21990,22151,49167877
2026-01-10,21537,22226,21537,21586,12784603
2026-01-11,22316,22316,21674,22300,2430056
2026-01-12,22797,22907,22601,22900,16437624
2026-01-13,22758,23120,22178,22178,12274139
2026-01-14,21680,22200,21680,21680,42504398
2026-01-18,22318,22412,22317,22404,5606727
2026-01-19,22768,22768,22375,22410,5082783
2026-01-20,23000,23000,22322,22385,2969144
2026-01-21,23000,23000,22423,22500,1798409
2026-01-24,23000,23000,21814,21814,20024408
2026-01-25,21807,21807,21186,21186,9961933
2026-01-26,20922,20922,20696,20696,1369669
2026-01-27,20400,20675,20260,20420,1140932
2026-01-28,21247,21247,20451,20607,637809
2026-01-31,21100,21100,19975,19975,1213758
2026-02-01,19994,20594,19894,20346,3177586
2026-02-02,20850,20850,20338,20670,1268062
2026-02-03,21080,21080,20247,20391,2597643
2026-02-07,21006,21032,20451,21032,10718220
2026-02-08,21000,21480,20511,20522,4560123
2026-02-09,20900,20900,20480,20480,1432675
2026-02-10,20215,20215,19940,20003,332679
2026-02-14,20056,20310,19512,19512,1060413
2026-02-15,19600,19600,19443,19443,1387223
2026-02-16,19168,19335,18873,19138,1125466
2026-02-17,19473,19473,19147,19160,97057
2026-02-18,19600,19600,18772,18772,1932984
2026-02-21,19046,19396,18512,18512,1496717
2026-02-22,18213,18213,18213,18213,1369909
2026-02-23,18510,18510,17667,17866,3567818
2026-02-24,18195,18195,17710,17827,955484
2026-02-25,18174,18576,18126,18499,806451
2026-05-19,17747,17747,17747,17747,1714036
2026-05-20,17215,17215,17215,17215,1391875
2026-05-23,16699,16699,16699,16699,3078549
2026-05-24,17198,17199,16860,17199,2680609
2026-05-25,17701,17701,16671,16671,3241240
2026-05-26,16474,16999,16474,16870,4179209
2026-05-30,16704,17204,16704,17204,1862196
2026-05-31,17719,17719,17719,17719,3842226
2026-06-01,18250,18250,17300,17353,6277490
2026-06-02,17401,18325,17259,17261,9869948
2026-06-03,17304,18119,17094,17710,10345132
2026-06-06,17666,18148,17666,17860,4088343
2026-06-07,18148,18342,17902,18234,8894757
2026-06-08,17539,17539,17539,17539,10475202
2026-06-09,18045,18065,17910,18065,11625278
2026-06-10,18120,18600,18060,18540,3084448
2026-06-13,18932,18932,18932,18932,6467470
2026-06-14,19499,19499,19102,19499,5730535
2026-06-15,20081,20081,20081,20081,50027497
