date,open,high,low,close,volume
2025-10-26,19870,19870,19870,19870,11869230
2025-10-27,20100,20350,19620,20260,23856588
2025-10-28,20740,20760,20160,20760,21295572
2025-10-29,20990,20990,20220,20460,3124124
2025-11-01,20610,20790,19900,20090,3759196
2025-11-02,19770,20370,19770,20310,3229814
2025-11-03,20230,20740,20230,20730,4594020
2025-11-04,20420,20420,19910,19930,5601072
2025-11-05,19850,20090,19760,20090,3831833
2025-11-08,20100,20460,19970,20080,6302195
2025-11-09,19710,20170,19650,19650,7260960
2025-11-10,19290,19490,19180,19250,2696190
2025-11-11,19310,19630,19090,19180,1746719
2025-11-12,19230,19390,18810,19320,2457278
2025-11-15,19390,19450,19310,19340,1228644
2025-11-16,19380,19800,19240,19670,1048683
2025-11-17,19630,19880,19500,19510,5173374
2025-11-18,19520,19710,19450,19530,2137403
2025-11-19,19190,19640,19190,19600,804724
2025-11-22,19520,19700,19500,19670,1002688
2025-11-23,20220,20220,20220,20220,648656
2025-11-25,20820,20820,20820,20820,8771915
2025-11-26,21440,21440,20580,20990,2729473
2025-11-29,20970,20970,20370,20400,2189846
2025-11-30,20490,20640,20300,20640,2201941
2025-12-01,20640,21160,20640,21160,3294096
2025-12-02,20960,21650,20960,21440,2734002
2025-12-03,21440,21690,21400,21600,865295
2025-12-06,21740,22160,21530,22160,889237
2025-12-07,22170,22740,21920,22050,1462018
2025-12-08,21950,22380,21810,22030,3410250
2025-12-09,21800,22170,21790,22120,1500972
2025-12-10,22130,22700,22130,22700,3126783
2025-12-13,22810,23180,22600,22890,12175304
2025-12-14,22730,23010,22400,22760,1878652
2025-12-15,22990,23370,22730,23280,2648907
2025-12-16,23110,23730,23000,23030,2588512
2025-12-17,23750,23900,23350,23830,47598693
2025-12-20,24000,24570,23860,24570,3599025
2025-12-21,24630,24700,24050,24490,2680384
2025-12-22,24980,24980,24110,24250,1166521
2025-12-23,24900,24900,24260,24460,8542860
2025-12-24,24910,25120,24610,25120,4363554
2025-12-27,25790,25860,25160,25860,3929749
2025-12-28,26610,26620,25870,26600,3895751
2025-12-29,26620,26890,25610,25990,2322829
2025-12-30,25920,25920,25440,25440,1037339
2025-12-31,24680,26200,24680,26200,10370842
2026-01-04,26070,26660,25330,26150,3697959
2026-01-05,26480,26480,26480,26480,705879
2026-01-06,27270,27270,27270,27270,2218041
2026-01-07,28080,28080,28080,28080,82336476
2026-01-10,27300,28920,27240,27610,7623832
2026-01-11,28430,29350,28100,29350,9863212
2026-01-12,29930,29930,29470,29930,4574966
2026-01-13,30800,30800,29030,29030,7297977
2026-01-14,28880,28880,28880,28880,732058
2026-01-18,28470,29430,28370,29040,57849215
2026-01-19,29480,29480,28040,28830,10285071
2026-01-20,28970,29040,27910,28500,6930244
2026-01-21,28050,28500,28050,28330,4179708
2026-01-24,27470,27940,27450,27450,5986790
2026-01-25,26720,26720,26720,26720,2601582
2026-01-26,25920,25920,25920,25920,489389
2026-01-27,25150,25150,25150,25150,4171931
2026-01-28,24400,25160,24400,24400,15720420
2026-01-31,24030,24400,23720,23720,5944070
2026-02-01,23410,24640,23410,24600,9534931
2026-02-02,24840,24840,24610,24840,5872692
2026-02-03,25560,25580,24860,25540,5940351
2026-02-07,26120,26120,26120,26120,852948
2026-02-08,26900,26900,26100,26280,7343975
2026-02-09,26780,26780,25710,26090,3993131
2026-02-10,26250,26910,26000,26850,1087459
2026-02-14,27200,27200,25810,27010,20412547
2026-02-15,26320,26700,26220,26220,1230332
2026-02-16,25580,26580,25500,25930,889179
2026-02-17,26180,26180,25660,25790,541278
2026-02-18,25830,26210,25030,25320,3182470
2026-02-21,24900,24900,24380,24380,1859899
2026-02-22,23673,24284,23649,23650,767241
2026-02-23,24187,24362,23303,23611,1388745
2026-02-24,23303,24020,23002,23898,822933
2026-02-25,23420,24200,23154,23902,2779354
2026-06-10,24566,24566,24193,24566,5838844
2026-06-13,25288,25288,25288,25288,3438737
2026-06-14,26046,26046,26046,26046,4358581
2026-06-15,26827,26827,26827,26827,73716
2026-06-16,27631,27631,27631,27631,4981233
2026-06-17,28459,28459,27000,28459,18920696
2026-06-20,29192,29192,27500,27839,11858109
2026-06-21,28300,28300,27338,27338,7621820
2026-06-22,26679,27190,26678,26978,8782595
2026-06-23,27521,27521,27103,27521,8047412
2026-06-27,28200,28251,27500,28149,7216023
2026-06-28,27232,27641,27232,27399,5798818
2026-06-29,27895,27895,26669,27696,2537185
2026-06-30,28040,28246,26734,28246,3010640
2026-07-01,28246,28959,27750,28959,5798893
2026-07-07,29782,29782,29782,29782,153725
2026-07-08,30675,30675,28889,29006,10588702
2026-07-11,29285,29623,29285,29285,5386033
2026-07-12,28408,28960,28408,28408,3819076
2026-07-13,27556,28000,27556,27556,6865985
2026-07-14,26730,26998,26730,26730,5723281
2026-07-15,27450,27450,26339,26354,780007
2026-07-18,25750,25890,25653,25653,4297522
2026-07-19,24920,25423,24919,25391,4781765
2026-07-20,25510,25897,25508,25897,2386761
2026-07-21,26456,26464,25721,26464,4652246
2026-07-22,26968,26968,25807,25964,6734028
2026-07-25,26009,26388,25750,25823,2592009
2026-07-26,26625,26625,25881,26625,1385687
2026-07-27,27411,27411,26675,27411,2243913
