date,open,high,low,close,volume
2025-12-20,10000,10000,10000,10000,321813937
2025-12-21,10000,10000,10000,10000,50440669
2025-12-22,10000,10000,10000,10000,33827467
2025-12-23,10000,10000,10000,10000,128952030
2025-12-24,10000,10000,10000,10000,62570616
2026-01-20,10245,10245,10230,10245,4641513
2026-01-21,10490,10490,9936,10289,14639658
2026-01-24,9783,9828,9782,9782,6222971
2026-01-25,9489,9489,9489,9489,346559
2026-01-26,9205,9680,9205,9205,1934240
2026-01-27,8948,9440,8948,9151,1618312
2026-01-28,9290,9400,9080,9367,2427691
2026-01-31,9460,9490,9140,9300,1468678
2026-02-01,9300,9548,9200,9547,1304222
2026-02-02,9680,9700,9440,9700,1174154
2026-02-03,9750,9909,9333,9740,2634963
2026-02-07,9650,9874,9650,9859,2038104
2026-02-08,9810,9825,9508,9551,466644
2026-02-09,9600,9600,9398,9398,268800
2026-02-10,9185,9460,9185,9444,246702
2026-02-14,9340,9449,9044,9045,625366
2026-02-15,9045,9045,8954,8954,900480
2026-02-16,8686,8951,8686,8938,521018
2026-02-17,8955,8955,8458,8558,14251
2026-02-18,8930,8940,8600,8850,36634
2026-02-21,8627,8628,8627,8627,138990
2026-02-22,8369,8882,8369,8369,591741
2026-02-23,8120,8619,8120,8213,676743
2026-02-24,8580,8597,8110,8110,4450976
2026-02-25,8196,8666,8196,8196,10519438
2026-06-09,8444,8444,8444,8444,3382305
2026-06-10,8696,8697,8597,8697,5102918
2026-06-13,8933,8933,8933,8933,529531
2026-06-14,9200,9200,9200,9200,144139
2026-06-15,9476,9476,9476,9476,18201
2026-06-16,9760,9760,9550,9700,22799283
2026-06-17,9998,9998,9513,9750,4454935
2026-06-20,9850,9975,9395,9975,19213467
2026-06-21,9940,9940,9362,9600,15126990
2026-06-22,9749,9750,9409,9409,3837923
2026-06-23,9600,9699,9330,9699,10505836
2026-06-27,9923,9923,9798,9923,5323273
2026-06-28,9900,9900,9623,9623,3974249
2026-06-29,9880,9880,9348,9501,3902371
2026-06-30,9210,9755,9210,9415,4266680
2026-07-01,9869,9894,9518,9894,8513093
2026-07-07,10129,10129,9845,10128,10117742
2026-07-08,10000,10000,9786,9786,4973517
2026-07-11,9506,9506,9506,9506,981443
2026-07-12,9221,9221,9221,9221,14431
2026-07-13,8945,8945,8945,8945,641087
2026-07-14,8677,8677,8677,8677,330217
2026-07-15,8417,8417,8417,8417,472193
2026-07-18,8165,8165,8165,8165,156314
2026-07-19,7921,7921,7921,7921,1291555
2026-07-20,7769,8158,7702,8158,14517981
2026-07-21,8165,8312,8160,8231,2908246
2026-07-22,8230,8466,7974,8120,5842018
2026-07-25,8466,8470,8011,8256,1472982
2026-07-26,8443,8444,8439,8444,4420823
2026-07-27,8696,8697,8446,8697,5801981
2026-07-28,8914,8915,8738,8912,3260898
2026-07-29,9099,9099,8625,8625,1462855
2026-08-01,8650,8650,8372,8372,866032
2026-08-02,8501,8695,8400,8695,11830385
2026-08-03,8900,8910,8706,8910,665093
2026-08-05,9061,9155,9040,9155,2540359
2026-08-08,9415,9416,9353,9416,1484805
2026-08-09,9410,9670,9124,9124,2599521
2026-08-10,8923,9197,8920,9130,5226437
2026-08-11,9330,9330,9090,9100,2266897
2026-08-15,9170,9170,8910,8910,1501636
2026-08-16,8670,9024,8670,8940,2015439
2026-08-17,8955,9168,8880,9100,25955338
2026-08-18,9244,9257,9089,9257,12272425
2026-08-19,9470,9505,9400,9505,5829629
2026-08-22,9760,9777,9760,9777,6515196
2026-08-23,10063,10063,9482,9640,9562726
2026-08-24,9700,9890,9515,9824,4839471
2026-08-25,9956,9956,9790,9945,1801039
2026-08-26,10001,10207,10001,10207,7979997
2026-08-29,10300,10496,10250,10395,48557363
2026-08-31,10084,10538,10084,10408,14226937
2026-09-01,10489,10489,9999,10100,10040205
2026-09-02,10050,10328,9970,10286,25801201
2026-09-05,10151,10321,10151,10321,30618652
2026-09-06,10510,10625,10300,10625,28312214
2026-09-07,10899,10922,10780,10921,20725393
2026-09-08,11164,11184,11000,11184,32725455
2026-09-09,11200,11512,10842,11512,26467578
2026-09-12,11764,11765,11693,11765,13624444
2026-09-13,12105,12105,11753,12070,28042398
2026-09-14,12200,12299,11717,12240,32512868
2026-09-15,12400,12517,12400,12517,17967478
2026-09-16,12710,12840,12600,12740,18198982
2026-09-19,13000,13000,12400,12620,6400792
2026-09-20,12800,12800,12280,12680,6475649
