date,open,high,low,close,volume
2025-10-22,16730,16840,16680,16840,90827
2025-10-25,16800,16950,16750,16950,116361
2025-10-26,17100,17300,17100,17300,2486662
2025-10-27,17120,17540,17060,17340,2779311
2025-10-28,17460,17560,17450,17460,2179221
2025-10-29,17600,17800,17500,17800,143727
2025-11-01,17750,18070,17700,17700,14328
2025-11-02,17400,17910,17400,17910,930484
2025-11-03,17800,17950,17800,17800,3146
2025-11-04,18020,18020,17500,17500,1269975
2025-11-05,17260,17660,17260,17660,61526
2025-11-08,17580,17580,17260,17260,57869
2025-11-09,17150,17150,17040,17050,1040982
2025-11-10,17000,17000,16800,16800,8850
2025-11-11,16940,16940,16940,16940,5131
2025-11-12,16890,16890,16890,16890,2875
2025-11-15,17190,17190,16870,16870,911
2025-11-16,16930,17020,16930,17020,17703
2025-11-17,17100,17340,17100,17310,13447
2025-11-18,17170,17170,17170,17170,581
2025-11-19,17150,17150,17150,17150,500
2025-11-22,17290,17310,17290,17310,351
2025-11-23,17660,17800,17610,17610,362291
2025-11-25,18000,18020,17770,17810,939400
2025-11-26,17950,18000,17660,17660,996480
2025-11-29,17900,18170,17900,18040,37932
2025-11-30,17720,17900,17720,17900,7498305
2025-12-01,18200,18270,17980,17980,87393
2025-12-02,18360,18410,18200,18200,2995
2025-12-03,18340,18340,18290,18290,25842
2025-12-06,18770,18820,18770,18780,10334
2025-12-07,18900,18970,18490,18610,15730
2025-12-08,18640,18680,18580,18580,200355
2025-12-09,18660,18840,18660,18840,26719
2025-12-10,18950,19270,18950,19260,2631465
2025-12-13,19570,19580,19410,19440,84385
2025-12-14,19270,19580,19270,19580,1905
2025-12-15,19740,20000,19670,20000,10050017
2025-12-16,20160,20160,19720,19720,650947
2025-12-17,20140,20140,19960,20100,17725
2025-12-20,20400,20610,20400,20610,764588
2025-12-21,20720,20890,20720,20840,377012
2025-12-22,21050,21140,20670,20720,42495
2025-12-23,20960,20980,20960,20980,57447
2025-12-24,21590,21590,21440,21590,274537
2025-12-27,21910,22120,21780,21850,6353324
2025-12-28,21970,22490,21970,22010,5349234
2025-12-29,22410,22410,21840,21960,613987
2025-12-30,21450,21590,21450,21590,18814
2025-12-31,21280,22130,21280,22090,21368
2026-01-04,22090,22090,21690,21770,9530
2026-01-05,22460,22460,22460,22460,3306173
2026-01-06,23130,23130,23130,23130,23301006
2026-01-07,23820,23820,23500,23820,12924596
2026-01-10,23070,24000,23070,23250,4686208
2026-01-11,23860,24100,23860,24060,6694358
2026-01-12,24620,24650,24620,24650,5744173
2026-01-13,24850,24980,24270,24480,2088842
2026-01-14,23800,24220,23800,24190,627746
2026-01-18,24550,24550,24410,24540,4788932
2026-01-19,24980,25060,24000,24250,5787205
2026-01-20,24610,25080,24400,24710,5177750
2026-01-21,24570,24840,24050,24550,4155597
2026-01-24,24400,24400,23860,23860,3596722
2026-01-25,23420,23430,23420,23420,3189612
2026-01-26,22720,22720,22720,22720,119040
2026-01-27,22040,22440,22040,22440,76477
2026-01-28,22120,22590,22120,22440,39964143
2026-01-31,22700,22700,21860,22000,14408
