date,open,high,low,close,volume
2025-11-02,15917,16267,15716,16266,3722741
2025-11-03,16283,16405,16279,16405,1313955
2025-11-04,16493,16626,16142,16142,467016
2025-11-05,15876,15876,15873,15873,1048474
2025-11-08,16186,16186,15715,15715,123618
2025-11-09,15680,15680,15247,15250,1079595
2025-11-10,15454,15914,15454,15914,139101
2025-11-11,15729,15729,15272,15272,33102
2025-11-12,15188,15200,15188,15188,26317
2025-11-15,15590,15590,15590,15590,1300
2025-11-16,15360,15807,15350,15700,108306
2025-11-17,16063,16063,15593,15593,1509310
2025-11-18,15944,15944,15944,15944,1000
2025-11-19,15502,15700,15495,15495,2086961
2025-11-22,15493,15798,15493,15798,1301
2025-11-23,16000,16120,15880,16120,1180507
2025-11-25,16397,16397,15921,15921,84021
2025-11-26,16208,16694,16100,16200,1013636
2025-11-29,16191,16191,16100,16100,1071341
2025-11-30,16240,16250,16070,16071,51177
2025-12-01,16575,16579,16560,16560,23974
2025-12-02,16549,16915,16549,16710,8306
2025-12-03,16523,16940,16523,16940,62885
2025-12-06,17126,17126,17125,17126,27394
2025-12-07,17400,17500,16990,17500,264343
2025-12-08,17559,17559,17499,17559,48707
2025-12-09,17400,17734,17220,17220,351006
2025-12-10,17510,17747,17500,17640,537553
2025-12-13,17628,17830,17460,17825,131386
2025-12-14,17605,17980,17480,17970,418091
2025-12-15,17562,18080,17562,18080,54695
2025-12-16,18299,18299,17926,17926,91147
2025-12-17,18193,18193,17670,18193,59276
2025-12-20,18427,18679,18427,18650,558891
2025-12-21,18486,19030,18486,19030,20872
2025-12-22,19000,19340,19000,19320,746543
2025-12-23,19409,19409,18848,19390,39332
2025-12-24,19747,19957,19575,19957,1271336
2025-12-27,19957,20160,19572,19950,580747
2025-12-28,20250,20362,20004,20362,94807
2025-12-29,20276,20870,20276,20276,594199
2025-12-30,20630,20630,19800,19800,166961
2025-12-31,20257,20404,20251,20404,5005199
2026-01-04,20646,20646,20047,20380,664595
2026-01-05,20829,20848,20800,20848,6364758
2026-01-06,21472,21472,21472,21472,11031000
2026-01-07,22116,22116,20936,22111,12933280
2026-01-10,21278,21916,21278,21278,7117976
2026-01-11,21499,21997,21499,21997,6785459
2026-01-12,22013,22543,22013,22543,9941328
2026-01-13,22889,22889,21865,22096,9000978
2026-01-14,21814,21814,21374,21800,1267820
2026-01-18,22149,22381,22001,22381,8313302
2026-01-19,22789,22999,22135,22650,2300547
2026-01-20,22650,23135,22140,22990,5148436
2026-01-21,22795,22799,22148,22704,2230834
2026-01-24,22399,22399,21951,21951,9449176
2026-01-25,21860,22431,21768,21768,4393051
2026-01-26,21695,21696,21258,21310,3971706
2026-01-27,21160,21666,21154,21310,177291
2026-01-28,21191,21825,21191,21341,177977
2026-01-31,21341,21341,20663,20664,1033897
2026-02-01,20770,21392,20770,21300,141957
2026-02-02,21397,21400,20525,21000,6857484
2026-02-03,21150,21400,20750,21310,6949581
2026-02-07,21461,21737,21307,21737,6031199
2026-02-08,21836,22379,21745,21960,4840055
2026-02-09,21933,21933,21474,21474,1241014
2026-02-10,21682,21683,21682,21682,190615
2026-02-14,21702,22000,21198,21198,500356
2026-02-15,20858,20858,20857,20857,51408
2026-02-16,20605,20605,20557,20557,90729
2026-02-17,20870,20870,20281,20695,7721
2026-02-18,20228,20333,20226,20226,24052
2026-02-21,20003,20003,19821,19900,250094
2026-02-22,19622,19623,19600,19600,100185
2026-02-23,19700,19791,19500,19791,1600
2026-02-24,19251,19251,19229,19229,4122
2026-02-25,19518,19518,19510,19510,1036
2026-06-03,20097,20097,19812,20097,463066
2026-06-06,19669,20598,19669,20584,231208
2026-06-07,20437,20572,20200,20490,16264142
2026-06-08,20292,20890,20291,20665,2660566
2026-06-09,20890,21030,20890,21030,5398612
2026-06-10,21640,21640,20450,21195,2254136
2026-06-13,21585,21585,21584,21585,7132716
2026-06-14,22220,22232,22002,22232,7906476
2026-06-15,22872,22872,22871,22872,6476746
2026-06-16,23558,23558,23558,23558,17637065
2026-06-17,24238,24264,23600,24264,11602769
2026-06-20,24860,24860,23412,24579,18369538
2026-06-21,24083,24802,23837,23837,7954443
2026-06-22,23346,24500,23346,23490,12268841
2026-06-23,23836,24077,23836,24077,12575426
2026-06-27,24791,24791,23832,24194,7070489
