date,open,high,low,close,volume
2025-10-19,20430,20430,19995,20227,84393
2025-10-20,20084,20250,19960,20250,19475
2025-10-21,20600,20600,19760,20000,191310
2025-10-22,19855,20420,19855,20420,672041
2025-10-25,20360,20645,20155,20493,46741
2025-10-26,20789,20789,20789,20789,1162322
2025-10-27,21412,21412,20600,20794,131405
2025-10-28,21112,21270,21031,21270,52152
2025-10-29,20993,21450,20993,21340,1080716
2025-11-01,22091,22091,21112,21140,14207
2025-11-02,21164,21590,21164,21590,33479
2025-11-03,21673,21799,21585,21586,34421
2025-11-04,21221,21650,21221,21221,37080
2025-11-05,20858,21291,20858,21291,19333
2025-11-08,21530,21530,20914,20914,1044
2025-11-09,20740,20740,20541,20541,5484
2025-11-10,20100,20100,20097,20097,2500
2025-11-11,19873,19873,19681,19681,70649
2025-11-12,20043,20043,19900,19900,31050
2025-11-15,20100,20331,20100,20331,1247
2025-11-16,20297,20297,20002,20002,300967
2025-11-17,20659,20659,20390,20659,201412
2025-11-18,20386,20469,20300,20300,200508
2025-11-19,19988,20340,19988,20340,200112
2025-11-22,20681,20681,20681,20681,9767
2025-11-23,21300,21300,20930,20933,3543661
2025-11-25,21500,21500,21210,21499,12580
2025-11-26,21500,22065,21360,22065,8031
2025-11-29,21642,21642,21220,21220,20238
2025-11-30,21330,21499,21233,21450,2051903
2025-12-01,21975,21975,21445,21445,20248
2025-12-02,21548,21700,21548,21700,22498
2025-12-03,22088,22088,21688,21688,152473
2025-12-06,22088,22399,22088,22388,91491
2025-12-07,22440,22530,22346,22520,95485
2025-12-08,22280,22280,22280,22280,50000
2025-12-09,22200,22200,22039,22039,50752
2025-12-10,22205,22863,22205,22700,89032
2025-12-13,23174,23308,22982,22982,215014
2025-12-14,23000,23300,23000,23300,3486
2025-12-15,23750,23841,23750,23841,374798
2025-12-16,24100,24194,23650,23650,559262
2025-12-17,23085,24123,23085,23950,73318
2025-12-20,24496,24576,24088,24576,70869
2025-12-21,24544,24938,24544,24544,45125
2025-12-22,25481,25481,24529,24529,82542
2025-12-23,24779,25175,24553,24868,54865
2025-12-24,24930,25669,24929,25650,134144
2025-12-27,26038,26038,25650,26038,19207
2025-12-28,26664,26664,26450,26451,27773
2025-12-29,26608,26608,25803,26090,659330
2025-12-30,25239,25239,25239,25239,13887
2025-12-31,25234,25996,25234,25688,183546
2026-01-04,26208,26762,25984,26090,64999
2026-01-05,26853,26853,26853,26853,1000292
2026-01-06,27658,27658,27658,27658,1762566
