date,open,high,low,close,volume
2025-10-26,14169,14169,13821,13925,5034948
2025-10-27,14168,14417,13854,14417,6810277
2025-10-28,14539,14748,14270,14400,11581243
2025-10-29,14599,14599,14287,14537,3214790
2025-11-01,14739,14739,14251,14430,2428134
2025-11-02,14524,14524,14200,14489,1093041
2025-11-03,14719,14719,14335,14577,705484
2025-11-04,14361,14550,14203,14203,49761
2025-11-05,14100,14499,14069,14350,78320
2025-11-08,14460,14460,14068,14200,4252
2025-11-09,14287,14287,13763,13763,2023687
2025-11-10,13800,13800,13402,13650,11595513
2025-11-11,14073,14073,13506,13560,21247
2025-11-12,13871,13871,13380,13630,1484091
2025-11-15,13823,13823,13623,13700,875013
2025-11-16,13669,14113,13669,14065,4931073
2025-11-17,14099,14100,13800,14100,73045
2025-11-18,13957,13999,13720,13999,4451890
2025-11-19,14145,14190,13759,14190,100213
2025-11-22,14143,14196,13980,14196,2802
2025-11-23,14403,14403,14320,14403,25972
2025-11-25,14550,14722,14400,14722,605772
2025-11-26,14500,14799,14450,14617,5420218
2025-11-29,14532,14750,14270,14686,167165
2025-11-30,14500,14700,14456,14699,10601538
2025-12-01,14790,15033,14790,15033,295732
2025-12-02,14830,14999,14830,14930,35195
2025-12-03,15090,15120,14957,15120,13408156
2025-12-06,15358,15400,15200,15400,6604750
2025-12-07,15621,15621,15000,15448,217482
2025-12-08,15383,15425,15101,15250,99418
2025-12-09,15220,15423,14738,15348,313866
2025-12-10,15290,15431,15289,15431,491689
2025-12-13,15648,15890,15523,15700,311996
2025-12-14,15671,15998,15600,15900,110057
2025-12-15,16082,16194,15814,16194,26374673
2025-12-16,16500,16550,16020,16020,81741
2025-12-17,16080,16302,16080,16302,71600
2025-12-20,16500,16698,16400,16698,14970452
2025-12-21,16660,17100,16660,16900,201903
2025-12-22,16989,17365,16920,16920,240078
2025-12-23,17108,17435,16990,17380,71587
2025-12-24,17536,17685,17425,17580,4335958
2025-12-27,17879,17900,17645,17888,54088
2025-12-28,18100,18337,17935,18337,4993422
2025-12-29,18399,18400,17832,17925,147857
2025-12-30,17780,17898,17525,17525,152658
2025-12-31,17956,17985,17752,17946,23770
2026-01-04,18090,18200,17750,17975,23165
2026-01-05,18561,18561,18561,18561,7226107
2026-01-06,19117,19117,19117,19117,16363620
2026-01-07,19500,19583,18856,19145,26479450
2026-01-10,18695,19829,18695,18695,11308164
2026-01-11,18900,19573,18900,19573,2904881
2026-01-12,19950,20057,19950,20057,5228071
2026-01-13,20658,20658,19713,20050,5176276
2026-01-14,19909,19909,19671,19800,2678495
2026-01-18,20000,20267,20000,20266,26139107
2026-01-19,20456,20839,20298,20596,3641893
2026-01-20,20900,20945,20125,20400,4742262
2026-01-21,20472,20745,20145,20454,11670205
2026-01-24,20456,20456,19807,19807,1243660
2026-01-25,19371,19371,19371,19371,2033863
2026-01-26,18790,18790,18790,18790,3992731
2026-01-27,18227,18350,18227,18227,3086730
2026-01-28,17681,18550,17681,18217,10759454
2026-01-31,18249,18249,17203,17550,632703
2026-02-01,18250,18396,18045,18396,1079251
2026-02-02,18776,18867,18700,18867,460094
2026-02-03,19351,19351,18965,19195,472479
2026-02-07,19435,19725,19435,19725,21758
2026-02-08,20255,20256,19524,19654,340061
2026-02-09,19500,19500,19195,19195,1037135
2026-02-10,19697,19697,18932,19299,633619
2026-02-14,19387,19420,18610,18628,498143
2026-02-15,18125,18430,18124,18201,258211
2026-02-16,17651,18198,17651,18198,4476
2026-02-17,18225,18225,17900,18086,28619
2026-02-18,18486,18486,17553,17553,106915
2026-02-21,17052,17187,17052,17115,24923
2026-02-22,17234,17234,16652,16998,2114008
2026-02-23,17144,17153,17065,17153,174880
2026-02-24,17342,17342,16845,17063,47066
2026-02-25,17023,17328,16987,17137,95718
2026-06-10,17682,17682,17112,17682,1694661
2026-06-13,18208,18208,18120,18208,5641318
2026-06-14,18752,18752,18500,18752,3673121
2026-06-15,19310,19310,19308,19310,10959924
2026-06-16,19889,19889,19200,19649,9873838
2026-06-17,19800,20000,19191,20000,14297386
2026-06-20,19771,19956,19400,19690,6907152
2026-06-21,19351,19600,19116,19294,2624720
2026-06-22,18980,19480,18980,19480,9818757
2026-06-23,19420,19870,19420,19870,1356471
2026-06-27,19600,19923,19600,19750,1292781
2026-06-28,19700,19700,19304,19405,6964642
2026-06-29,19400,19574,19280,19574,1377676
2026-06-30,19680,19979,19291,19489,3101765
2026-07-01,19465,19998,19465,19998,947812
2026-07-07,20240,20469,20240,20469,1677900
2026-07-08,20490,20579,19980,20460,1626284
2026-07-11,20050,20200,19810,20060,2694693
2026-07-12,19355,19900,19355,19575,2074833
2026-07-13,18780,19220,18780,19210,427436
2026-07-14,18900,18940,18780,18830,459223
2026-07-15,18850,18901,18530,18700,71489
2026-07-18,18769,18769,18146,18159,206032
2026-07-19,17618,18079,17618,17948,638343
2026-07-20,18150,18170,17841,17989,188201
2026-07-21,18160,18496,18115,18445,1254687
2026-07-22,18489,18589,18300,18320,139582
2026-07-25,18420,18420,18099,18125,161558
2026-07-26,18440,18500,18402,18440,724991
2026-07-27,18600,18720,18600,18720,442347
2026-07-28,18849,19209,18849,19101,1586279
2026-07-29,18999,18999,18761,18881,148230
2026-08-01,18968,18968,18659,18739,477860
2026-08-02,18839,19049,18821,19023,5093353
2026-08-03,19290,19494,19130,19494,9356222
2026-08-05,19962,19962,19813,19962,6935050
2026-08-08,20401,20450,20180,20221,694505
2026-08-09,20495,20500,19953,20000,3388825
2026-08-10,20002,20300,20002,20280,360842
2026-08-11,20560,20651,20411,20450,30570497
2026-08-15,20700,20700,20280,20538,17741657
2026-08-16,20355,20600,20050,20430,2470322
2026-08-17,20700,20778,20530,20770,2414957
2026-08-18,20798,21206,20430,20909,10466072
2026-08-19,20850,21200,20750,21200,658056
2026-08-22,21249,21518,21249,21518,405846
2026-08-23,21750,21929,21491,21620,308542
2026-08-24,21620,22050,21600,21950,181428
2026-08-25,22200,22499,22050,22499,2592311
2026-08-26,22493,23001,22493,23000,991440
2026-08-29,23179,23330,23080,23330,158440
2026-08-31,23299,23420,23049,23419,216646
2026-09-01,23550,23970,23000,23100,3927514
2026-09-02,22712,23525,22712,23297,7346200
2026-09-05,23349,23450,23058,23450,9322800
2026-09-06,23800,23977,23800,23977,5307376
2026-09-07,24625,24691,24400,24691,1827168
2026-09-08,25219,25249,25001,25249,1801962
2026-09-09,25500,25550,25260,25260,3833662
2026-09-12,25430,26177,25430,26051,4674324
2026-09-13,26350,26634,26250,26251,2102221
2026-09-14,26350,26499,26000,26129,5613718
2026-09-15,26254,26800,26253,26580,20872397
2026-09-16,26780,26795,26399,26659,1541040
2026-09-19,26580,26720,26100,26300,2504603
2026-09-20,26100,26798,25600,26798,2369967
