date,open,high,low,close,volume
2025-10-27,22668,22668,22668,22668,100
2025-10-28,22919,22919,22698,22698,1768
2025-10-29,22584,22584,22584,22584,100
2025-11-01,23261,23261,22694,22694,2168135
2025-11-02,22959,22959,22959,22959,200
2025-11-04,22686,22686,22437,22437,9042
2025-11-05,22258,22258,22258,22258,4468
2025-11-09,21921,21955,21591,21591,51831
2025-11-10,22245,22245,22154,22165,10763
2025-11-11,22069,22069,22039,22039,11365
2025-11-12,21700,22000,21700,22000,1276
2025-11-16,22096,22096,22096,22096,1337
2025-11-23,22758,22758,22758,22758,219
2025-11-25,23068,23173,23068,23173,16306
2025-11-29,22825,22825,22730,22730,15660
2025-11-30,23141,23215,22855,23130,3586
2025-12-01,23200,23200,23200,23200,258
2025-12-02,23423,23500,23248,23248,30855
2025-12-06,23764,23764,23701,23701,1495
2025-12-07,23699,23772,23699,23772,10525
2025-12-08,23893,23893,23623,23623,4320
2025-12-10,24300,24300,24300,24300,500
2025-12-13,24802,24823,24802,24823,5041
2025-12-14,24616,24823,24616,24823,2071
2025-12-15,24741,25481,24741,25481,1100
2025-12-16,25758,25758,25506,25506,40550
2025-12-17,25664,25914,25664,25914,102
2025-12-20,26494,26494,26464,26464,3787663
2025-12-21,26705,26705,26336,26400,23701
2025-12-22,26407,26407,26407,26407,226
2025-12-24,27199,27199,27170,27195,1423
2025-12-27,28013,28013,27870,27880,41309
2025-12-28,27636,27995,27612,27890,14045
2025-12-29,28231,28231,28093,28200,45631
2025-12-30,27443,27443,27354,27354,53467
2025-12-31,27874,28045,27874,28045,537
2026-01-05,28768,28768,28283,28283,2041
2026-01-06,28289,28980,28586,28980,253824
2026-01-07,28895,28895,28653,28653,874289
2026-01-10,28714,28898,28837,28837,3564
2026-01-11,28896,28896,28896,28896,224
2026-01-12,28896,28896,28896,28896,798
2026-01-13,29298,29133,28785,29133,2939
2026-01-14,28756,28756,28756,28756,215
2026-01-18,28736,28736,28736,28736,1008
2026-01-19,28764,29273,28803,29143,212000
2026-01-20,29206,29314,29206,29300,170326
2026-01-21,29376,29376,29283,29283,13544
2026-01-24,28501,28501,28462,28462,9734
2026-01-25,28287,28287,27950,27950,1180
2026-01-26,27389,27389,27389,27389,280659
2026-01-27,26799,26568,26568,26568,1338
2026-01-28,26301,26823,26246,26823,67224
2026-01-31,26377,26377,25868,25868,52503
2026-02-01,25542,25750,25542,25750,9745
2026-02-02,26511,26511,26510,26510,1366
2026-02-03,26447,26524,26447,26524,1736
2026-02-07,27274,27274,27255,27255,27030
2026-02-08,27667,27860,27721,27721,300
2026-02-09,27000,27000,26934,26934,19598
2026-02-14,26762,26762,26762,26762,10
2026-02-15,25964,25964,25960,25960,500
2026-02-16,25560,25560,25560,25560,111
2026-02-17,25223,25223,25223,25223,5000
2026-02-18,25300,25660,25300,25435,15107
2026-02-21,24832,24832,24832,24832,6000
2026-02-22,25435,25435,24088,24200,44834
2026-02-23,24173,24561,24173,24561,3438
2026-02-24,24192,24192,24192,24192,5000
2026-02-25,24487,24800,24487,24800,317062
2026-05-19,25522,25522,25522,25522,43
2026-05-20,24757,24757,24757,24757,57260
2026-05-24,24016,24704,24015,24252,465997
2026-05-25,24152,24480,23431,24300,5255911
2026-05-26,24800,24929,24514,24927,37634
2026-05-30,24789,25511,24789,25511,135458
2026-05-31,26240,26248,26240,26248,218427
2026-06-01,27035,27035,27035,27035,78617
2026-06-02,27846,27846,26900,27844,2097377
2026-06-03,28484,28488,26830,28487,1644790
2026-06-06,28487,29035,28487,29035,1459095
2026-06-07,29034,29905,29034,29905,491556
2026-06-08,29573,29573,28981,28981,1339652
2026-06-09,29992,29992,29992,29992,1877201
2026-06-10,30891,30891,30891,30891,116293
2026-06-13,31817,31817,31817,31817,51000
2026-06-14,32771,32771,32771,32771,308090
2026-06-15,33600,33754,33600,33754,60390
2026-06-16,34611,34611,33301,33353,4160804
2026-06-17,33549,34617,33549,34617,161798
2026-06-20,35071,35071,33546,33546,2989051
2026-06-21,33719,33730,33435,33435,231528
2026-06-22,32808,33218,32617,33218,2184222
2026-06-23,33407,33822,33350,33822,1542108
2026-06-27,33522,34000,33382,33382,317030
2026-06-28,32839,33281,32590,32590,7478143
2026-06-29,33452,33452,33452,33452,9825
2026-06-30,34455,34455,34091,34093,12932
2026-07-01,35245,35245,34258,34684,14696
2026-07-07,35467,35467,34426,35144,1841
2026-07-08,35400,35680,34178,34600,1095249
2026-07-11,34450,34450,34026,34026,400292
2026-07-12,33563,33998,33563,33998,1000150
2026-07-13,33332,33590,33332,33590,362195
2026-07-14,32918,33847,32918,33847,7037
2026-07-15,33170,33597,32992,32992,100100
2026-07-18,32570,32570,32570,32570,56045
2026-07-19,32441,33239,32441,33239,300263
2026-07-20,33325,33647,33325,33647,63
2026-07-21,32474,34482,32474,34481,5486
2026-07-22,34098,34268,34098,34268,60
2026-07-25,35124,35125,34256,34256,29627
2026-07-26,35016,35207,35016,35207,261744
2026-07-27,36100,36100,35099,35099,2839366
2026-07-28,36400,36400,34759,35496,218059
2026-07-29,35163,35175,35000,35175,1419373
2026-08-01,34576,34576,34576,34576,718
2026-08-02,35612,35612,35500,35612,426242
2026-08-03,36564,36566,36182,36566,75343
2026-08-05,37616,37655,37616,37655,131000
2026-08-08,38781,38781,38781,38781,3203759
2026-08-09,39944,39944,38300,38340,3785911
2026-08-10,39750,39750,38436,38848,115101
2026-08-11,39965,39965,38900,38910,2081295
2026-08-15,38900,39400,38700,38900,4574258
2026-08-16,38400,39200,38400,39200,302133
2026-08-17,38905,40168,38900,38910,2411273
2026-08-18,39300,39500,39300,39500,92166
2026-08-19,39100,39800,39100,39599,2535283
2026-08-22,39501,40638,39501,40630,558632
2026-08-23,40050,40711,39906,39906,380048
2026-08-24,39912,41301,39912,40288,148051
2026-08-25,40663,41369,40663,41179,53068
2026-08-26,41235,42049,41235,42000,13614
2026-08-29,42686,42686,42350,42686,5993973
2026-08-31,43560,43866,42629,43866,86592
2026-09-01,44096,44096,42336,42336,66497
2026-09-02,42395,43075,41348,41348,11794257
2026-09-05,42818,43774,42732,43255,3939561
2026-09-06,43679,44255,43679,44171,54811
2026-09-07,45035,45336,45035,45336,146335
2026-09-08,45787,46591,45069,46591,473278
2026-09-09,47317,47457,46846,47064,113387
2026-09-12,47583,48492,47409,48492,76070
2026-09-13,48676,49670,48676,49600,116063
2026-09-14,48890,48895,48445,48447,70205
2026-09-15,49203,49663,49203,49658,188193
2026-09-16,49935,49935,48279,49123,2397151
2026-09-19,49010,49010,47653,47781,9754
2026-09-20,46838,47501,46749,47501,18737
