date,open,high,low,close,volume
2025-11-16,12166,12506,12166,12506,79609
2025-11-17,12400,12400,12350,12400,69308
2025-11-18,12400,12400,12251,12400,41011
2025-11-19,12400,12500,12400,12500,5584
2025-11-22,12355,12519,12355,12452,21298
2025-11-23,12576,12766,12400,12766,341930
2025-11-25,12700,12960,12530,12530,2725257
2025-11-26,12600,12790,12600,12700,826937
2025-11-29,12800,12800,12700,12700,120200
2025-11-30,12750,12750,12650,12750,54335
2025-12-01,12722,13090,12722,12945,266111
2025-12-02,12900,12900,12900,12900,105600
2025-12-03,12855,12998,12855,12998,1050202
2025-12-06,13323,13324,12990,13200,1577124
2025-12-07,13300,13300,12900,13299,765470
2025-12-08,13300,13443,13300,13301,53646
2025-12-09,13300,13500,13300,13400,30922
2025-12-10,13300,13599,13151,13500,2270822
2025-12-13,12916,13702,12916,13702,502059
2025-12-14,13720,13920,13521,13920,972661
2025-12-15,13800,14022,13760,14022,1927862
2025-12-16,14268,14268,14080,14100,2074019
2025-12-17,14000,14513,14000,14513,221956
2025-12-20,14015,14830,14015,14810,819105
2025-12-21,14410,15049,14410,14909,1207088
2025-12-22,14899,15356,14778,15000,8547611
2025-12-23,15000,15370,14700,15370,1895094
2025-12-24,14882,15328,14806,15328,1518636
2025-12-27,15031,15500,15031,15350,3392166
2025-12-28,15843,15843,15400,15710,1067416
2025-12-29,15900,15900,15229,15649,1296199
2025-12-30,15230,15639,14985,15639,1025816
2025-12-31,15250,15473,15055,15468,608693
2026-01-04,15110,15490,14890,15400,364243
2026-01-05,15257,15400,15102,15102,1101523
2026-01-06,15766,15767,15400,15767,1995695
2026-01-07,16167,16167,15750,16149,112675
2026-01-10,16120,16485,15525,15550,691211
2026-01-11,15600,16000,15294,15800,1036759
2026-01-12,16149,16243,15900,16000,5091263
2026-01-13,16330,16590,16000,16000,220818
2026-01-14,15700,16160,15692,15695,256548
2026-01-18,15640,16100,15640,16100,161985
2026-01-19,16150,16150,15700,15700,201517
2026-01-20,15700,15999,15396,15863,1699058
2026-01-21,16000,16000,15570,15780,1250500
2026-01-24,15500,15500,15460,15460,997920
2026-01-25,15001,15400,15001,15370,354636
2026-01-26,14800,15100,14800,15100,17000
2026-01-27,14979,15130,14800,14990,127000
2026-01-28,15199,15199,14800,15000,393909
2026-01-31,15010,15300,14640,14640,2423121
2026-02-01,15100,15100,14730,14997,221200
2026-02-02,14900,15000,14850,15000,373627
2026-02-03,14920,15000,14850,15000,134229
2026-02-07,15100,15320,14700,15320,2395033
2026-02-08,15350,15450,15150,15200,908313
2026-02-09,15300,15363,14990,14990,2769728
2026-02-10,15250,15470,15170,15310,5240129
2026-02-14,15450,15529,14940,14940,184641
2026-02-15,14900,14900,14690,14690,110642
2026-02-16,14613,14900,14590,14900,341480
2026-02-17,14700,14800,14600,14800,16387
2026-02-18,14920,14920,14500,14733,7162625
2026-02-21,14260,14260,14190,14190,83567
2026-02-22,14221,14303,14000,14303,70979
2026-02-23,14450,14450,14400,14450,1800
2026-02-24,14454,14454,14454,14454,470
2026-02-25,14554,14554,14454,14554,486570
2026-05-19,14026,14456,14023,14456,2080268
2026-05-20,14416,14416,13604,13604,98590
2026-05-23,14080,14137,13869,14137,1531892
2026-05-24,14100,14297,13800,14297,8255833
2026-05-25,14583,14583,14060,14583,5897221
2026-05-26,14932,14932,14932,14932,1189758
2026-05-30,15379,15379,15379,15379,482900
2026-05-31,15840,15840,15840,15840,1482633
2026-06-01,16315,16315,16000,16315,1345522
2026-06-02,16616,16616,16616,16616,803000
2026-06-03,17114,17114,17114,17114,5556228
2026-06-06,17114,17627,17114,17627,75051
2026-06-07,17970,17978,17700,17978,339838
2026-06-08,17387,18000,17383,17400,12200169
2026-06-09,17800,17962,17430,17962,47185526
2026-06-10,18336,18336,18336,18336,1134329
2026-06-13,18886,18886,18886,18886,200000
2026-06-14,19452,19452,19452,19452,1340700
2026-06-15,20035,20035,20035,20035,1750005
2026-06-16,20636,20636,20636,20636,18214525
2026-06-17,21255,21255,20638,21255,5797747
2026-06-20,21527,21527,21527,21527,2636971
2026-06-21,22172,22172,21527,21530,3823223
2026-06-22,21700,22312,21100,22312,14748098
2026-06-23,22502,22502,22000,22502,14692612
2026-06-27,22804,22804,22100,22500,7098362
2026-06-28,23000,23000,21970,22313,523488
2026-06-29,21683,23000,21675,22937,2660684
2026-06-30,21680,22627,21680,22627,2460700
2026-07-01,22314,22860,21845,22860,20285466
2026-07-07,22511,22511,21935,22511,2754653
2026-07-08,22389,23051,22389,22410,1488716
2026-07-11,22073,22695,22073,22690,59050
2026-07-12,22253,23020,21911,21920,1747810
2026-07-13,21770,21990,21770,21990,304492
2026-07-14,21770,22000,21250,21999,7317279
2026-07-15,21500,21550,21405,21550,270531
2026-07-18,21395,21395,20883,20883,1489085
2026-07-19,21099,21099,20504,20504,187305
2026-07-20,20900,21180,19949,21180,3642130
2026-07-21,20800,21097,20800,21097,488057
2026-07-22,21086,21150,20413,20550,25873103
2026-07-25,20600,21037,20600,20700,2090240
2026-07-26,20810,21413,20810,21413,609284
2026-07-27,22053,22053,21412,21820,616643
2026-07-28,21500,22000,21500,22000,38543
2026-07-29,21700,21710,21190,21190,50087709
2026-08-01,21250,21800,21250,21500,12616094
2026-08-02,22142,22142,21801,22142,8735734
2026-08-03,22500,22503,22100,22503,6819182
2026-08-05,22822,22824,22275,22300,184229325
2026-08-08,22900,22965,22315,22965,41229134
2026-08-09,23536,23536,22306,23500,2065125
2026-08-10,23943,23945,23201,23945,1188719
2026-08-11,24623,24623,23916,24623,20804590
2026-08-15,24522,25256,24172,24533,999722
2026-08-16,25530,25530,24529,25399,1467807
2026-08-17,25400,25649,24998,25649,10118395
2026-08-18,26290,26290,25809,26204,216745
2026-08-19,26879,26886,26500,26886,1962218
2026-08-22,26590,27386,26590,27386,1177807
2026-08-23,27810,27810,26192,26499,631717
2026-08-24,26110,26930,26110,26470,1269193
2026-08-25,26087,26590,25950,26130,1069147
2026-08-26,26180,26500,26180,26202,4104531
2026-08-29,26211,26992,25420,26992,9394488
2026-08-31,26900,27126,25546,27126,7230689
2026-09-01,27255,27255,26062,26062,593107
2026-09-02,25764,26500,25761,25762,3282671
2026-09-05,26395,26396,26000,26300,288971
2026-09-06,26350,26550,25610,26550,2501058
2026-09-07,25602,26873,25600,26873,8654445
2026-09-08,27542,27545,26763,27545,3266179
2026-09-09,27798,28100,26980,27850,1359241
2026-09-12,28620,28620,28300,28620,570935
2026-09-13,29201,29201,28501,28606,1097625
2026-09-14,28540,29000,28539,28542,934948
2026-09-15,28839,29659,27941,27998,3628859
2026-09-16,28105,28500,27400,28500,10706636
2026-09-19,27473,27743,27035,27250,2529108
2026-09-20,26700,27937,26315,27668,5567843
