date,open,high,low,close,volume
2026-07-11,10000,10000,10000,10000,200000000
2026-07-13,10000,10000,10000,10000,200000000
2026-08-08,10500,10629,10346,10499,123794692
2026-08-09,10532,10532,10400,10450,83155125
2026-08-10,10509,10509,10364,10386,19338109
2026-08-11,10488,10610,10441,10586,177305941
2026-08-15,10586,10818,10586,10732,40725598
2026-08-16,10700,10779,10582,10648,15259272
2026-08-17,10680,10821,10656,10757,29040640
2026-08-18,10810,10810,10697,10710,25025172
2026-08-19,10734,10929,10607,10888,26499470
2026-08-22,11250,11743,11211,11609,41451111
2026-08-23,11988,12250,11880,11913,108725527
2026-08-24,12196,12198,11782,11946,47876251
2026-08-25,11968,12020,11112,11468,97539557
2026-08-26,11351,11750,11257,11599,115340706
2026-08-29,11580,11930,11550,11858,107306709
2026-08-31,12100,12226,12017,12150,73209214
2026-09-01,12116,12116,11655,11964,79751085
2026-09-02,12006,12250,12006,12180,52907397
2026-09-05,12323,12457,12278,12304,50825005
2026-09-06,12312,12313,12000,12167,50979941
2026-09-07,12001,12230,11987,12224,43473566
2026-09-08,12233,12432,12233,12399,25233328
2026-09-09,12560,12853,12560,12720,34427751
2026-09-12,12665,12720,12429,12490,47322106
2026-09-13,12400,12498,12218,12431,38160795
2026-09-14,12412,12465,12231,12268,31868342
2026-09-15,12232,12232,11876,11963,25486751
2026-09-16,12114,12194,11998,12062,23651802
2026-09-19,12209,12343,12209,12343,46436233
2026-09-20,12375,12562,12375,12395,33240208
