date,open,high,low,close,volume
2025-10-14,15425,15800,15425,15750,1000415
2025-10-15,15700,15739,15700,15739,2000000
2025-10-18,15970,15970,15880,15970,5800
2025-10-19,15812,15950,15812,15950,1000401
2025-10-20,15910,15910,15910,15910,995000
2025-10-21,16000,16100,15672,16100,6226362
2025-10-22,16300,16300,15823,16300,409
2025-10-25,16200,16270,16200,16270,3065000
2025-10-26,16499,16499,16497,16498,11132
2025-10-27,16500,16500,16500,16500,4237
2025-10-28,16740,16740,16418,16740,6050427
2025-10-29,16677,16677,16677,16677,100
2025-11-01,16427,16927,16427,16925,5978
2025-11-02,16620,16695,16620,16695,3011597
2025-11-03,16453,16860,16287,16860,2104499
2025-11-04,16800,16800,16722,16799,186474
2025-11-05,16558,17059,16558,17059,5908447
2025-11-08,16667,17173,16667,16667,2730
2025-11-09,16601,17020,16601,17020,723
2025-11-10,16540,17145,16540,17145,350393
2025-11-11,16788,16788,16788,16788,903
2025-11-12,16850,17123,16850,17123,5441631
2025-11-15,17252,17252,16870,16870,2401155
2025-11-16,16946,16946,16946,16946,2955000
2025-11-17,17200,17200,17200,17200,29200
2025-11-18,17286,17286,17286,17286,881
2025-11-22,16942,17371,16871,17371,10750
2025-11-23,17100,17291,17100,17291,4102969
2025-11-25,16930,17050,16929,17050,12614
2025-11-26,16813,17237,16728,17144,6007396
2025-12-02,17300,17300,17299,17300,7499
2025-12-03,17369,17369,17369,17369,2477
2025-12-06,17108,17629,17108,17629,1900
2025-12-07,17723,17723,17723,17723,1500
2025-12-08,17280,18077,17280,18077,40444
2025-12-09,17131,17131,17051,17052,8171
2025-12-10,16882,17391,16881,17391,1963
2025-12-13,17400,17400,17400,17400,58
2025-12-14,17139,17661,17139,17661,258
2025-12-15,17490,17661,17490,17660,1382970
2025-12-16,17326,17600,17325,17327,5558
2025-12-17,17681,17681,17681,17681,700
2025-12-20,18034,18034,18034,18034,500
2025-12-21,18394,18394,18394,18394,10000
2025-12-22,18119,18119,18027,18027,1901
2025-12-23,18380,18472,18380,18472,12840
2025-12-24,18748,18840,18748,18840,8186230
2025-12-27,19157,19245,19027,19245,1388019
2025-12-28,18900,19312,18742,18862,1602175
2025-12-29,18580,18670,18580,18580,1670164
2025-12-31,18827,18827,18827,18827,200
2026-01-04,18544,18827,18544,18827,1520
2026-01-06,19115,19119,19100,19100,116748
2026-01-07,19110,19492,18918,18920,56288
2026-01-14,18360,18360,18360,18360,10013
2026-01-18,18636,18636,18636,18636,535
2026-01-19,18636,18636,18081,18635,262134
2026-01-20,18020,18020,17928,17928,27533
2026-01-21,17950,18471,17929,17929,779407
2026-01-24,18048,18048,17867,17867,129452
2026-01-25,17650,18024,17650,18024,2441198
2026-01-26,17125,17525,17125,17525,1417
2026-01-28,16644,17154,16644,17154,3100
2026-02-01,16553,16553,16553,16553,2700
2026-02-02,16850,17049,16850,17049,2700100
2026-02-03,17407,17407,17407,17407,637
2026-02-07,17407,17667,17146,17667,613
2026-02-14,17546,17546,17546,17546,66
2026-02-18,17290,17634,17100,17634,1228333
2026-02-23,16776,17290,16776,17290,3000
2026-05-20,17119,17119,17119,17119,11656
2026-05-23,16606,17100,16606,17100,349543
2026-05-24,17106,17106,17106,17106,1000
2026-05-25,17619,17619,17619,17619,1000
2026-05-26,18147,18147,18147,18147,8329
2026-05-30,18255,18691,18255,18630,131472
2026-05-31,18791,19100,18791,19100,275412
2026-06-01,19073,19073,19000,19027,720145
2026-06-02,18910,19430,18839,19430,64192
