date,open,high,low,close,volume
2025-11-02,12315,12513,12315,12422,1650582
2025-11-03,12439,12608,12439,12580,13931
2025-11-04,12561,12629,12449,12499,68915
2025-11-05,12368,12470,12360,12470,734856
2025-11-08,12665,12665,12501,12534,839975
2025-11-09,12416,12528,12346,12377,9245
2025-11-10,12336,12410,12259,12295,658657
2025-11-11,12316,12431,12316,12328,82155
2025-11-12,12438,12440,12285,12375,2455306
2025-11-15,12404,12510,12394,12394,147790
2025-11-16,12366,12560,12366,12519,1420
2025-11-17,12635,12823,12617,12700,65289
2025-11-18,12550,12731,12550,12555,1004313
2025-11-19,12601,12751,12564,12590,3000687
2025-11-22,12664,12898,12664,12740,6530
2025-11-23,12704,13110,12704,13095,212292
2025-11-25,13139,13342,13024,13341,22481
2025-11-26,13305,13305,13013,13046,2068458
2025-11-29,13220,13220,12973,13006,1605252
2025-11-30,13175,13198,12944,13007,1004327
2025-12-01,13123,13280,13123,13237,36755
2025-12-02,13375,13500,13322,13386,1006577
2025-12-03,13545,13620,13545,13580,1187613
2025-12-06,13611,13950,13611,13950,403785
2025-12-07,14338,14338,13750,14100,3745975
2025-12-08,13900,14100,13900,14100,28625
2025-12-09,14090,14180,14090,14120,24140
2025-12-10,14090,14480,14090,14421,197298
2025-12-13,14490,14710,14490,14531,12961
2025-12-14,14642,14851,14555,14790,56431
2025-12-15,14839,15090,14839,15090,121384
2025-12-16,15096,15483,15063,15100,53428
2025-12-17,15045,15287,14987,15160,48946
2025-12-20,14634,15538,14634,15538,354048
2025-12-21,15465,15833,15465,15711,412510
2025-12-22,15559,15943,15463,15610,717576
2025-12-23,15487,15954,15487,15748,7985631
2025-12-24,15758,15998,15728,15998,865697
2025-12-27,16300,16463,16300,16383,120038
2025-12-28,16380,16884,16380,16884,156453
2025-12-29,16733,17054,16558,16822,385344
2025-12-30,16681,16681,16337,16479,921234
2025-12-31,16304,16829,16254,16829,12849543
2026-01-04,16830,16905,16450,16600,479682
2026-01-05,17285,17289,16968,17030,5472607
2026-01-06,17489,17639,17395,17639,4193492
2026-01-07,17550,17900,17550,17792,6831911
2026-01-10,17241,17891,17240,17330,1963664
2026-01-11,17525,18009,17293,17789,221680
2026-01-12,18017,18203,18017,18203,2544392
2026-01-13,18306,18500,17979,18224,3470767
2026-01-14,18232,18232,17512,17700,6495015
2026-01-18,17922,18048,17821,17839,750126
2026-01-19,18023,18217,17730,17731,3540078
2026-01-20,17970,17970,17480,17480,3134733
2026-01-21,17972,18000,17747,17747,9565
2026-01-24,17865,17865,17344,17347,1720065
2026-01-25,17570,17570,16931,16931,23130
2026-01-26,16998,16998,16634,16634,16921
2026-01-27,16172,16652,16172,16172,559340
2026-01-28,16353,16354,16141,16250,15965
2026-01-31,16183,16183,15753,15753,30453
2026-02-01,15520,16048,15520,16044,1953677
2026-02-02,16107,16279,16084,16090,107445
2026-02-03,16290,16290,15892,16200,8782
2026-02-07,16066,16533,16065,16330,502038
2026-02-08,16540,16798,16151,16310,1561950
2026-02-09,16108,16177,16108,16108,6614
2026-02-10,15702,15927,15702,15800,100679
2026-02-14,15978,15984,15471,15471,52783
2026-02-15,15490,15706,15400,15400,103648
2026-02-16,15480,15480,15029,15341,228837
2026-02-17,15480,15549,15282,15350,16779
2026-02-18,15610,15610,15090,15150,119891
2026-02-21,15383,15383,14806,14810,868707
2026-02-22,15000,15000,14619,14619,25547
2026-02-23,14600,14840,14600,14664,46403
2026-02-24,14854,14854,14409,14663,35743
2026-02-25,14794,15080,14584,14999,85935
2026-06-03,15304,15304,14500,14510,327312
2026-06-06,14654,14844,14628,14628,373226
2026-06-07,14200,14621,14199,14223,1290010
2026-06-08,13875,13875,13875,13875,108972
2026-06-09,13552,14291,13552,13800,782951
2026-06-10,14079,14079,13651,13772,692726
2026-06-13,14099,14122,14031,14122,7015810
2026-06-14,14545,14545,14400,14545,1416936
2026-06-15,14978,14978,14630,14978,9793044
2026-06-16,15261,15261,14810,14810,7234457
2026-06-17,14910,15053,14568,14900,5406324
2026-06-20,15001,15285,14395,14396,3715119
2026-06-21,14900,14900,14400,14400,2873916
2026-06-22,14504,14700,14501,14503,294707
2026-06-23,14525,14760,14525,14600,8712
2026-06-27,14602,15028,14571,14571,66663
2026-06-28,14573,14575,14570,14570,80595
2026-06-29,14574,14575,14136,14447,2191804
2026-06-30,14854,14854,14520,14854,2185088
2026-07-01,15162,15162,14729,14900,7404
2026-07-07,15408,15408,15201,15405,225775
2026-07-08,15245,15690,15155,15155,396319
2026-07-11,15004,15004,15003,15003,38254
2026-07-12,14553,14557,14553,14553,584843
2026-07-13,14122,14496,14120,14496,141869
2026-07-14,13800,14171,13800,14161,66563
2026-07-15,14500,14569,14153,14154,135460
2026-07-18,14003,14390,14001,14390,113728
2026-07-19,14074,14517,14073,14517,83059
2026-07-20,14373,14809,14373,14806,226676
2026-07-21,15160,15188,14727,15001,64204
2026-07-22,15091,15537,15091,15101,13469
2026-07-25,15174,15622,15104,15104,93221
2026-07-26,15222,15609,15221,15590,280088
2026-07-27,15900,15929,15900,15929,1209326
2026-07-28,15930,16405,15929,16405,194286
2026-07-29,16870,16870,16611,16870,1827149
2026-08-01,17200,17300,16800,16833,2152982
2026-08-02,17283,17500,17030,17146,894756
2026-08-03,17220,17722,17220,17722,664191
2026-08-05,18213,18213,18213,18213,1837316
2026-08-08,18759,18759,18500,18759,3244785
2026-08-09,19163,19163,19163,19163,1818158
2026-08-10,19737,19737,19700,19737,3022961
2026-08-11,20000,20323,19736,19957,2134482
2026-08-15,19928,20000,19365,20000,1720019
2026-08-16,20000,20347,19757,20347,2222111
2026-08-17,20857,20857,20857,20857,2001349
2026-08-18,21482,21482,20895,21400,4005216
2026-08-19,21999,21999,20851,21978,2699130
2026-08-22,22364,22364,21998,22113,683294
2026-08-23,22766,22774,22307,22500,1936625
2026-08-24,23407,23407,22740,22742,737894
2026-08-25,23519,23519,22871,23375,91839
2026-08-26,23303,23994,23303,23994,1607223
2026-08-29,24705,24710,24204,24710,262961
2026-08-31,24653,25379,23910,24299,5272299
2026-09-01,24980,25725,24561,24699,1227878
2026-09-02,24480,25198,24480,25189,239518
2026-09-05,24297,25404,24297,25404,292676
2026-09-06,25065,25793,25065,25793,1548798
2026-09-07,25900,26561,25900,26561,1479922
2026-09-08,27357,27357,27050,27357,1975526
2026-09-09,28148,28148,27339,27550,628035
2026-09-12,28557,28568,27910,28568,3613878
2026-09-13,29390,29399,29110,29399,3401757
2026-09-14,30278,30278,28523,29989,1024199
2026-09-15,30768,30772,30310,30540,4021294
2026-09-16,31269,31270,29595,29680,2486635
2026-09-19,30114,30400,29205,29205,1536972
2026-09-20,28561,29204,28561,28601,4021158
