date,open,high,low,close,volume
2025-11-16,12366,12366,12366,12366,411
2025-11-17,12644,12644,12250,12250,12040
2025-11-18,12230,12230,12222,12222,46398
2025-11-19,12500,12500,12500,12500,100
2025-11-22,12356,12356,12355,12356,1745
2025-11-23,12355,12725,12355,12725,40650
2025-11-25,12630,12933,12630,12932,50201
2025-11-26,13166,13166,12900,12900,20962
2025-11-29,12999,12999,12788,12788,1037
2025-11-30,12990,12990,12990,12990,200
2025-12-01,12922,13199,12922,13199,9100
2025-12-02,13001,13233,13000,13233,4000
2025-12-03,13333,13333,13333,13333,10598
2025-12-06,13530,13732,13530,13732,2000250
2025-12-07,13870,13966,13589,13589,6012
2025-12-08,13666,13667,13666,13667,1569
2025-12-09,13850,13850,13850,13850,354
2025-12-10,14100,14100,14100,14100,162200
2025-12-13,14523,14523,14302,14523,17877
2025-12-14,14770,14880,14770,14880,9185
2025-12-15,15000,15254,15000,15254,2522036
2025-12-16,15400,15400,15400,15400,21330
2025-12-17,15150,15600,15150,15600,1277517
2025-12-20,15650,15705,15650,15705,1149777
2025-12-21,16172,16174,15852,16174,760272
2025-12-22,16480,16644,15950,16560,735922
2025-12-23,16525,16540,16060,16150,271534
2025-12-24,16660,16665,16660,16665,7699242
2025-12-27,17164,17164,16763,16835,3015333
2025-12-28,17312,17313,16850,17313,30754325
2025-12-29,17831,17831,17050,17249,1140173
2025-12-30,17619,17619,16795,16795,1483718
2025-12-31,17457,17457,17000,17455,3055475
2026-01-04,17222,17222,16706,16706,2943542
2026-01-05,17627,17641,17627,17641,29402602
2026-01-06,18100,18170,17900,18170,4637541
2026-01-07,18682,18682,18330,18546,4446487
2026-01-10,18059,18174,18059,18174,21511389
2026-01-11,18059,18600,18020,18235,1447606
2026-01-12,18590,18989,18590,18989,1967271
2026-01-13,19453,19453,18321,18321,2023492
2026-01-14,18321,18321,17910,17913,2188957
2026-01-18,18399,18447,18399,18447,13976017
2026-01-19,18998,19000,18660,18950,1247260
2026-01-20,19240,19500,18710,19200,798329
2026-01-21,19150,19150,18600,18600,553504
2026-01-24,18550,18550,18212,18212,1357988
2026-01-25,18020,18020,17792,17792,1158169
2026-01-26,17338,17338,17338,17338,1103948
2026-01-27,16818,16820,16818,16818,14656507
2026-01-28,16314,16810,16314,16315,909535
2026-01-31,16680,16680,15940,15940,7560074
2026-02-01,15700,16158,15511,16155,348105
2026-02-02,16000,16221,16000,16221,372679
2026-02-03,16704,16705,16264,16266,747080
2026-02-07,16900,16957,16900,16957,1366480
2026-02-08,17454,17454,16700,16700,1183055
2026-02-09,16900,16900,16533,16533,601836
2026-02-10,16713,16713,16210,16210,370598
2026-02-14,16550,16550,16180,16180,487698
2026-02-15,15896,15896,15893,15893,1071148
2026-02-16,15600,16050,15600,15600,55962
2026-02-17,15850,15850,15850,15850,78
2026-02-18,15800,16270,15800,15800,97201
2026-02-21,15327,15327,15327,15327,396656
2026-02-22,15311,15311,14868,14868,289310
2026-02-23,14869,15315,14869,14869,17126
2026-02-24,14953,14953,14800,14800,196116
2026-02-25,14930,15000,14930,15000,111169
2026-05-19,14485,15200,14485,15200,9287239
2026-05-20,14061,14841,14054,14841,154600
2026-05-23,14476,14476,14476,14476,1187927
2026-05-24,14910,14910,14910,14910,1100000
2026-05-25,15357,15357,15357,15357,10288140
2026-05-26,15780,15817,15360,15817,2363931
2026-05-30,16285,16285,16285,16285,7449
2026-05-31,16773,16773,16773,16773,34558127
2026-06-01,17276,17276,17276,17276,8719087
2026-06-02,17794,17794,17283,17794,4046292
2026-06-03,17999,17999,17259,17380,1064196
2026-06-06,17012,17800,17012,17789,3108585
2026-06-07,17999,18088,17950,18088,3105444
2026-06-08,17545,17546,17545,17545,2232022
2026-06-09,18071,18071,18071,18071,1101559
2026-06-10,18613,18613,18613,18613,24617118
2026-06-13,19171,19171,19171,19171,16113681
2026-06-14,19746,19746,19746,19746,6310737
2026-06-15,20338,20338,20338,20338,6078654
2026-06-16,20948,20948,20900,20948,52207723
2026-06-17,21575,21575,20704,21575,13806293
2026-06-20,22198,22198,20906,20906,9544835
2026-06-21,21053,21053,21053,21053,1579684
2026-06-22,20422,20422,20422,20422,15511552
2026-06-23,19820,20999,19810,20400,5629908
2026-06-27,19810,20190,19627,19627,3078269
2026-06-28,19107,19695,19107,19107,5160390
2026-06-29,18542,19679,18542,19303,6420828
2026-06-30,19875,19876,19600,19876,4478044
2026-07-01,19878,20470,19878,20470,2796221
2026-07-07,21044,21044,20731,21044,1868352
2026-07-08,20900,21449,20410,20410,8606402
2026-07-11,19947,20000,19881,19913,15392287
2026-07-12,19286,19286,19286,19286,2190427
2026-07-13,18708,18708,18708,18708,16627261
2026-07-14,18147,18490,18147,18450,18845295
2026-07-15,18417,18693,17605,17659,2336979
2026-07-18,17547,17990,17547,17989,36275755
2026-07-19,17314,18194,17251,18194,14358408
2026-07-20,18128,18275,18001,18275,1370030
