date,open,high,low,close,volume
2025-11-16,12450,12810,12300,12810,4650904
2025-11-17,13060,13160,12480,12480,3531894
2025-11-18,12690,12710,12370,12450,2430056
2025-11-19,12600,12700,12530,12640,1358620
2025-11-22,12700,12890,12670,12720,1489308
2025-11-23,12800,13230,12800,13230,11599709
2025-11-25,13350,13670,13320,13670,13411674
2025-11-26,13700,13790,13150,13270,5613277
2025-11-29,13400,13750,13240,13310,2443107
2025-11-30,13350,13700,13260,13630,1714109
2025-12-01,13970,14010,13830,14010,4577900
2025-12-02,14000,14400,13890,14070,4441942
2025-12-03,14320,14320,14090,14180,3460088
2025-12-06,14290,14740,14290,14740,4174206
2025-12-07,14960,14960,14300,14360,3107580
2025-12-08,14670,15050,14650,14770,887233
2025-12-09,14950,15100,14840,14970,666279
2025-12-10,15000,15500,14950,15230,2064295
2025-12-13,15470,15820,15430,15810,4466203
2025-12-14,15700,16000,15500,15880,1594256
2025-12-15,16000,16350,16000,16350,2473058
2025-12-16,16770,16960,15700,15810,6508333
2025-12-17,16250,16730,16100,16390,2221243
2025-12-20,16730,17020,16730,17020,6946594
2025-12-21,17360,17700,17130,17540,7481092
2025-12-22,17980,18100,17350,17730,5898636
2025-12-23,18000,18430,17700,18430,3238836
2025-12-24,18600,18880,18600,18880,5864569
2025-12-27,19630,19630,19160,19630,23800801
2025-12-28,20160,20290,19600,20290,16169962
2025-12-29,20650,20890,19400,19400,19277883
2025-12-30,19130,19630,19130,19130,3318332
2025-12-31,18370,19890,18370,19880,12373515
2026-01-04,19830,19950,18590,19010,5768883
2026-01-05,19660,19660,19650,19660,8841074
2026-01-06,20440,20440,20440,20440,8455848
2026-01-07,21240,21250,20350,21250,28403830
2026-01-10,20190,21280,20190,20190,10430725
2026-01-11,19710,21190,19710,21030,11093491
2026-01-12,21310,21590,21140,21590,16239385
2026-01-13,22220,22440,20800,21280,13231089
2026-01-14,20820,21210,20820,20820,4018742
2026-01-18,21100,21650,21100,21650,11661728
2026-01-19,21680,22320,21010,21340,15153173
2026-01-20,21990,21990,20880,21050,4602309
2026-01-21,21320,21490,20670,20770,7811254
2026-01-24,20970,20970,20140,20140,3296125
2026-01-25,19520,19520,19520,19520,3059563
2026-01-26,18740,18740,18740,18740,3025501
2026-01-27,18000,18000,18000,18000,2757938
2026-01-28,17400,18270,17300,17400,9714574
2026-01-31,17890,18190,16900,16920,3422494
2026-02-01,17500,18030,17020,17830,3866527
2026-02-02,18350,18400,17960,18400,4273716
2026-02-03,18400,18810,17660,18110,3635028
2026-02-07,18930,18930,18930,18930,3549661
2026-02-08,19680,19680,18460,18740,10546026
2026-02-09,18900,18900,18640,18640,2794513
2026-02-10,18250,18410,17920,18010,2659370
2026-02-14,18850,18850,17500,17770,1913385
2026-02-15,17750,18250,17500,17500,2195162
2026-02-16,17410,17990,17410,17940,1076626
2026-02-17,17680,18150,17530,17650,588740
2026-02-18,18150,18150,17010,17320,1834258
2026-02-21,16800,16800,16540,16540,2215624
2026-02-22,16150,16416,15898,16124,1524653
2026-02-23,16124,16569,16124,16569,833540
2026-02-24,16446,16700,16000,16350,724243
2026-02-25,16863,16864,16678,16864,447855
2026-05-19,16177,16177,16177,16177,68645
2026-05-20,15530,16779,15530,16590,1302602
2026-05-23,16723,16723,16723,16723,164904
2026-05-24,17391,17391,17391,17391,1510925
2026-05-25,18086,18086,17804,18086,6142571
2026-05-26,18538,18806,17403,18806,7282583
2026-05-30,19420,19420,19420,19420,1252815
2026-05-31,20196,20196,20196,20196,2282341
2026-06-01,21003,21003,20525,21003,10367579
2026-06-02,20970,21810,20263,21795,14883257
2026-06-03,21300,22330,20624,21031,13160748
2026-06-06,21682,22395,20908,22395,12803604
2026-06-07,22976,22982,22800,22982,5003241
2026-06-08,22061,22400,22061,22061,6574400
