date,open,high,low,close,volume
2025-11-11,10000,10000,10000,10000,270525472
2025-11-12,10000,10000,10000,10000,65875604
2025-12-28,10250,10550,10240,10390,21708327
2025-12-29,10560,10560,10200,10220,22656605
2025-12-30,10130,10180,10040,10040,26061940
2025-12-31,10150,10260,10030,10160,1108512
2026-01-04,10110,10150,10000,10120,8827501
2026-01-05,10140,10260,10130,10190,4638087
2026-01-06,10220,10480,10220,10480,19230422
2026-01-07,10590,10730,10250,10290,6160934
2026-01-10,10100,10170,10020,10020,7082863
2026-01-11,9900,10160,9720,10140,5578042
2026-01-12,10120,10150,10050,10130,5547918
2026-01-13,10400,10420,10280,10300,14048929
2026-01-14,10300,10300,10100,10250,1093648
2026-01-18,10200,10460,10200,10360,801473
2026-01-19,10650,10650,10300,10480,1498309
2026-01-20,10510,10770,10470,10770,3049145
2026-01-21,10930,10940,10820,10940,33932427
2026-01-24,10890,10890,10620,10620,17278420
2026-01-25,10320,10320,10320,10320,5532211
2026-01-26,10020,10080,10020,10020,16006121
2026-01-27,9720,10150,9720,10070,8953321
2026-01-28,9920,10050,9920,10050,8026680
2026-01-31,10250,10330,9740,9900,8677660
2026-02-01,10050,10260,10000,10250,7194291
2026-02-02,10180,10440,10180,10360,1419648
2026-02-03,10270,10390,10120,10160,1440175
2026-02-07,10300,10480,10270,10480,3218361
2026-02-08,10600,10650,10210,10320,1716803
2026-02-09,10540,10540,10070,10070,2143580
2026-02-10,10090,10140,9990,10000,773234
2026-02-14,10170,10200,9850,9890,1142664
2026-02-15,10000,10000,9680,9680,1210906
2026-02-16,9500,9760,9500,9700,381165
2026-02-17,9660,9900,9660,9830,312770
2026-02-18,9980,10080,9500,9850,2523572
2026-02-21,9550,9600,9460,9460,1827626
2026-02-22,9499,9700,9210,9700,153975
2026-02-23,9620,9710,9470,9500,7678466
2026-02-24,9520,9600,9340,9430,7501099
2026-02-25,9400,9685,9480,9685,100835
2026-05-19,9366,9944,9366,9944,13845061
2026-05-20,10152,10152,10152,10152,10017344
2026-05-23,10456,10456,10456,10456,13095435
2026-05-24,10769,10769,10769,10769,13503760
2026-05-25,11092,11092,11092,11092,28232307
2026-05-26,11424,11424,11424,11424,64136544
2026-05-30,11766,11766,11766,11766,1018956
2026-05-31,12118,12118,12118,12118,2791927
2026-06-01,12481,12481,12481,12481,9188977
2026-06-02,12855,12855,12855,12855,26423649
2026-06-03,13240,13240,13240,13240,23331327
2026-06-06,13600,13637,13260,13637,52480965
2026-06-07,13917,13917,13917,13917,2369774
2026-06-08,13500,13700,13500,13500,31873446
2026-06-09,13915,13915,13915,13915,51832
2026-06-10,14332,14332,14332,14332,6320191
2026-06-13,14761,14761,14761,14761,3269
2026-06-14,15203,15203,15203,15203,2143920
2026-06-15,15659,15659,15659,15659,1009666
2026-06-16,16128,16128,16128,16128,21771668
2026-06-17,16607,16607,15700,16299,30564925
2026-06-20,16500,16500,15700,15700,25393770
2026-06-21,15328,15328,15328,15328,6343617
2026-06-22,14869,14869,14869,14869,11002874
2026-06-23,14800,15280,14423,15050,58540241
2026-06-27,15080,15080,14302,14597,18611805
2026-06-28,14253,14253,14253,14253,11237392
2026-06-29,13930,14680,13930,14680,36618910
2026-06-30,14825,14825,14570,14825,16651156
2026-07-01,15080,15249,14700,15249,14652715
2026-07-07,15400,15543,15391,15543,6905257
2026-07-08,15800,15899,15072,15072,9495897
2026-07-11,14934,14934,14934,14934,6583309
2026-07-12,14486,14486,14486,14486,5091501
2026-07-13,14052,14918,14052,14187,10950150
2026-07-14,13701,14457,13675,14242,12184936
2026-07-15,14570,14606,14185,14460,4045695
2026-07-18,14061,14250,14059,14165,7646801
2026-07-19,14164,14479,14100,14400,2362326
2026-07-20,14691,14708,14310,14708,20276619
2026-07-21,14665,15088,14665,15088,15762548
2026-07-22,15507,15507,15000,15499,21542796
2026-07-25,15830,15830,14980,15048,7312042
2026-07-26,15654,15654,15050,15300,13627705
2026-07-27,15500,15500,15072,15188,10429455
2026-07-28,15300,15600,15150,15530,8498655
2026-07-29,15530,15980,15300,15892,7372734
2026-08-01,15520,16239,15520,15950,6354210
2026-08-02,16260,16480,16200,16475,6846777
2026-08-03,16880,16889,16700,16889,7227552
2026-08-05,17366,17366,17251,17366,5277495
2026-08-08,17884,17884,17800,17884,4347120
2026-08-09,18419,18419,17347,17347,11644268
2026-08-10,17500,17939,17415,17492,9110169
2026-08-11,17563,18055,17150,17468,10635301
2026-08-15,17400,17749,16925,16950,5461754
2026-08-16,17032,17542,16950,17542,2974729
