date,open,high,low,close,volume
2025-11-16,11273,11400,11273,11400,18372
2025-11-17,11520,11520,11373,11373,1502
2025-11-18,11443,11460,11394,11403,37196
2025-11-19,11375,11499,11363,11422,8185
2025-11-22,11410,11530,11410,11446,10055
2025-11-23,11522,11533,11386,11414,1550
2025-11-25,11552,11680,11545,11545,10723
2025-11-26,11556,11694,11547,11586,9517
2025-11-29,11632,11750,11579,11605,12910
2025-11-30,11577,11640,11577,11626,26015
2025-12-01,11709,11799,11709,11799,2835
2025-12-02,11826,11900,11820,11851,5038
2025-12-03,12026,12026,11850,11861,17397
2025-12-06,11970,12200,11970,12114,4359567
2025-12-07,12300,12300,12029,12029,8272422
2025-12-08,12237,12237,12017,12019,4221
2025-12-09,12181,12181,12012,12050,83713
2025-12-10,12171,12242,12034,12144,160697
2025-12-13,12300,12470,12151,12306,89740
2025-12-14,12452,12452,12327,12327,54547
2025-12-15,12491,12502,12375,12490,28254605
2025-12-16,12568,12681,12434,12434,10704
2025-12-17,12333,12740,12333,12740,48315
2025-12-20,12890,12929,12730,12851,8625
2025-12-21,13227,13227,12851,13098,16798
2025-12-22,13349,13426,13007,13074,25783
2025-12-23,13270,13522,13075,13397,13354
2025-12-24,13387,13877,13387,13740,51680720
2025-12-27,13919,14117,13715,13944,29551
2025-12-28,13969,14126,13817,13817,15929678
2025-12-29,13825,13825,13567,13567,2092033
2025-12-30,13409,13409,13206,13327,3343069
2025-12-31,13219,13462,13196,13196,4099
2026-01-04,13310,13506,12926,12926,1643351
2026-01-05,12996,13316,12996,13230,47194429
2026-01-06,13422,13650,12860,13559,50651164
2026-01-07,13722,13753,13173,13173,31489
2026-01-10,13980,13990,13176,13176,3090418
2026-01-11,13300,13300,12788,12788,3016842
2026-01-12,12788,13148,12407,12802,13030273
2026-01-13,13227,13240,12846,12854,2613553
2026-01-14,13091,13091,12543,12897,4046479
2026-01-18,12900,12900,12618,12896,10749546
2026-01-19,12642,12799,12534,12579,311266
2026-01-20,12927,12961,12618,12960,53622
2026-01-21,12863,13143,12753,12873,1186524
2026-01-24,13250,13250,12512,12538,1030033
2026-01-25,12831,12831,12327,12327,7943
2026-01-26,12391,12391,12006,12066,263529
2026-01-27,11863,11863,11718,11800,33305
2026-01-28,11764,11941,11585,11614,5062
2026-01-31,11555,11866,11415,11415,11128
2026-02-01,11333,11610,11333,11610,2229
