date,open,high,low,close,volume
2026-02-22,10000,10000,10000,10000,114965879
2026-02-23,10000,10000,10000,10000,80150700
2026-02-24,10000,10000,10000,10000,494885968
2026-05-05,10300,10300,10300,10300,5543882
2026-05-06,10609,10609,10609,10609,1586111
2026-05-09,10927,10927,10927,10927,1096574
2026-05-10,11254,11254,11254,11254,2053945
2026-05-11,11591,11591,11591,11591,11980101
2026-05-12,11938,11938,11938,11938,91593283
2026-05-13,12296,12296,11955,12100,318995786
2026-05-16,12050,12582,12020,12582,309875840
2026-05-17,12600,12785,12520,12698,221659004
2026-05-18,12750,13028,12325,12325,246938479
2026-05-19,12341,12341,12341,12341,1613897
2026-05-20,11971,11971,11971,11971,22423773
2026-05-23,11612,12315,11612,11799,234830062
2026-05-24,12000,12199,11607,11608,144005050
2026-05-25,11607,11690,11394,11400,76996300
2026-05-26,11323,11680,11102,11600,45754332
2026-05-30,11698,11785,11522,11785,39984735
2026-05-31,11944,12110,11771,11879,57297123
2026-06-01,11734,11898,11604,11604,25066069
2026-06-02,11366,11599,11288,11293,56908625
2026-06-03,11300,11300,11028,11028,43930831
2026-06-06,10928,11369,10928,11290,56376311
2026-06-07,11372,11520,11301,11391,41325805
2026-06-08,11094,11094,11094,11094,3951007
2026-06-09,11320,11426,11150,11409,42113046
2026-06-10,11305,11550,11090,11200,60008914
2026-06-13,11611,11665,11550,11665,26700905
2026-06-14,11996,11997,11800,11940,57252792
2026-06-15,12200,12313,12200,12313,27370362
2026-06-16,12673,12673,11935,11935,18144648
2026-06-17,11885,11885,11885,11885,2656466
2026-06-20,11529,11680,11529,11529,29323434
2026-06-21,11191,11191,11191,11191,4834473
2026-06-22,10856,11526,10856,11407,83724795
2026-06-23,11330,11494,10937,10945,40670267
2026-06-27,10910,11248,10701,10928,33843359
2026-06-28,10900,11070,10690,10925,26008987
2026-06-29,10930,10950,10690,10785,34637463
2026-06-30,10890,10890,10662,10711,34621454
2026-07-01,10745,10745,10591,10700,25144271
2026-07-07,10750,10944,10703,10840,34820852
2026-07-08,10780,10780,10509,10510,31982072
2026-07-11,10530,10772,10272,10669,56783931
2026-07-12,10499,10879,10397,10645,69285829
2026-07-13,10711,10977,10620,10868,47098469
2026-07-14,10706,11000,10706,11000,16839852
2026-07-15,11071,11100,10933,11093,18149899
2026-07-18,11005,11119,10901,10905,12158009
2026-07-19,11033,11034,10821,10845,14435803
2026-07-20,10939,11198,10883,11069,32615861
2026-07-21,10920,11231,10920,11119,22335702
2026-07-22,11111,11111,10832,10833,13371261
2026-07-25,10800,10973,10800,10879,4234047
2026-07-26,11148,11179,11035,11079,22548990
2026-07-27,11130,11228,10960,11180,23496768
2026-07-28,11120,11200,11103,11133,3688356
2026-07-29,11137,11189,11019,11161,7141823
2026-08-01,11162,11300,11162,11226,6484431
2026-08-02,11300,11459,11220,11293,22899690
2026-08-03,11420,11580,11356,11480,19585892
2026-08-05,11607,11800,11514,11690,23780783
2026-08-08,11900,11986,11751,11901,30650631
2026-08-09,11935,11936,11576,11576,15621637
2026-08-10,11653,11787,11634,11763,10472038
2026-08-11,11778,11778,11686,11699,14278094
2026-08-15,11795,11795,11672,11735,7310279
2026-08-16,11703,11936,11703,11833,8300065
2026-08-17,11919,11928,11790,11836,11434679
2026-08-18,11855,11896,11799,11801,3826781
2026-08-19,11874,11874,11733,11751,7001708
2026-08-22,11827,11829,11700,11800,14383329
2026-08-23,11839,12135,11655,12110,23940156
2026-08-24,12100,12333,12005,12333,29391584
2026-08-25,12548,12548,12100,12314,19048742
2026-08-26,12345,12509,12340,12340,12904904
2026-08-29,12351,12442,12200,12240,23159516
2026-08-31,12150,12150,11888,12001,7103555
2026-09-01,12299,12300,11680,12270,13388705
2026-09-02,11920,12261,11765,12063,6708746
2026-09-05,12250,12250,12012,12105,5353056
2026-09-06,12200,12397,12100,12353,6997602
2026-09-07,12420,12660,12415,12654,31819451
2026-09-08,12843,12843,12535,12602,18242342
2026-09-09,12510,12670,12258,12600,8999672
2026-09-12,12520,12689,12491,12580,9215364
2026-09-13,12650,12700,12401,12524,5747676
2026-09-14,12523,12628,12186,12379,7344789
2026-09-15,12451,12598,12155,12468,5865285
2026-09-16,12390,12550,12186,12320,5941058
2026-09-19,12480,12480,12000,12137,7470281
2026-09-20,12051,12481,12015,12481,12884388
