date,open,high,low,close,volume
2025-11-15,13932,14061,13899,14061,32785
2025-11-16,13953,14157,13904,14021,23519
2025-11-17,14179,14287,13958,14116,16484
2025-11-18,13972,14095,13969,13991,335097
2025-11-19,14145,14163,14003,14087,97244
2025-11-22,14030,14413,14030,14190,142518
2025-11-23,14103,14551,14103,14351,232841
2025-11-25,14528,14733,14527,14570,86939
2025-11-26,14656,14697,14372,14499,31603
2025-11-29,14444,14570,14383,14399,57843
2025-11-30,14336,14638,14336,14635,94996
2025-12-01,14697,14908,14616,14744,14026
2025-12-02,14757,14908,14757,14860,24167
2025-12-03,15039,15246,14999,15246,59617
2025-12-06,15251,15499,15251,15433,40777
2025-12-07,15311,15676,15203,15297,25515
2025-12-08,15471,15490,15329,15434,25433
2025-12-09,15528,15651,15441,15449,13745
2025-12-10,15628,15863,15578,15863,29976
2025-12-13,15826,16171,15826,16076,35407
2025-12-14,16047,16235,15838,16199,63496
2025-12-15,16319,16531,16233,16498,165674
2025-12-16,16579,16838,16048,16059,189948
2025-12-17,16111,16623,16111,16577,1969039
2025-12-20,16773,17042,16629,17023,302115
2025-12-21,17065,17312,16947,17139,164843
2025-12-22,16999,17365,16877,16901,176645
2025-12-23,17049,17352,17049,17320,54856
2025-12-24,17513,17741,17513,17741,550535
2025-12-27,17899,18203,17792,18098,393983
2025-12-28,18093,18456,17859,18456,442844
2025-12-29,18434,18634,17854,17986,416114
2025-12-30,17899,18236,17561,17561,745091
2025-12-31,17049,18096,17042,18096,2315316
2026-01-04,18099,18238,17599,17794,213274
2026-01-05,18078,18361,18074,18361,3367537
2026-01-06,18894,18901,18801,18901,1880261
2026-01-07,19298,19298,18743,19103,4516963
2026-01-10,18488,19187,18488,18488,2960841
2026-01-11,18765,19143,18765,19143,262583
2026-01-12,19445,19589,19237,19589,283045
2026-01-13,19766,19996,19147,19300,509167
2026-01-14,19259,19259,18886,19201,538578
2026-01-18,19367,19513,19149,19513,351218
2026-01-19,19321,20086,19235,19415,291222
2026-01-20,19456,19839,19333,19679,170297
2026-01-21,19398,19662,19344,19499,989979
2026-01-24,19004,19213,18837,18837,257237
2026-01-25,18292,18292,18292,18292,1931311
2026-01-26,17744,17744,17744,17744,1876602
2026-01-27,17212,17554,17212,17212,421605
2026-01-28,17252,17499,17104,17337,571183
2026-01-31,17534,17534,16679,16738,1914593
2026-02-01,16511,17189,16511,16999,147856
2026-02-02,17598,17598,17087,17187,1736294
2026-02-03,17384,17598,16902,17192,749302
2026-02-07,17557,17892,17466,17892,2598153
2026-02-08,18244,18244,17769,17787,1026784
2026-02-09,17936,17936,17531,17531,450037
2026-02-10,17578,17698,17446,17637,113570
2026-02-14,17852,17949,17155,17155,150862
2026-02-15,17009,17178,16875,16875,243932
2026-02-16,17166,17166,16677,17024,98089
2026-02-17,17236,17239,16832,17239,275255
2026-02-18,17082,17339,16713,16722,101301
2026-02-21,16449,16449,16265,16265,242780
2026-02-22,15855,16192,15855,16079,148830
2026-02-23,16369,16378,16228,16228,12116
2026-02-24,16049,16266,15953,16266,6149
2026-02-25,16296,16510,16248,16411,121398
2026-05-19,15950,15950,15950,15950,181702
2026-05-20,15472,15499,15472,15472,541831
2026-05-23,15069,15936,15069,15936,78360
