date,open,high,low,close,volume
2025-12-06,11850,11850,11800,11847,1335
2025-12-07,11845,11895,11800,11894,43998
2025-12-08,11815,11850,11810,11845,478935
2025-12-09,11900,12168,11814,12168,2522234
2025-12-10,12230,12448,12050,12110,3739713
2025-12-13,12150,12150,11930,11955,1666594
2025-12-14,11904,12120,11857,11992,700177
2025-12-15,12006,12250,11916,12018,538485
2025-12-16,12082,12228,11890,11900,1297519
2025-12-17,11918,12111,11900,11998,1524711
2025-12-20,12019,12148,12000,12090,3657486
2025-12-21,12072,12138,12002,12020,1277065
2025-12-22,12083,12085,11870,11948,1036895
2025-12-23,11970,12039,11905,11971,735186
2025-12-24,11957,12150,11957,12017,2488379
2025-12-27,12025,12097,11944,12000,1268441
2025-12-28,11988,12050,11980,12033,280772
2025-12-29,12010,12010,11924,11994,454821
2025-12-30,11924,11939,11849,11910,164032
2025-12-31,11910,11989,11884,11909,318848
2026-01-04,11989,11989,11813,11904,417203
2026-01-05,11950,12047,11910,12008,833649
2026-01-06,12020,12170,11948,11961,1808498
2026-01-07,11965,11965,11700,11770,774903
2026-01-10,11837,11837,11683,11740,892337
2026-01-11,11770,11847,11743,11784,304337
2026-01-12,11840,11890,11752,11858,624413
2026-01-13,11810,11857,11790,11832,85430
2026-01-14,11780,11800,11770,11770,33877
2026-01-18,11836,11836,11760,11829,56079
2026-01-19,11765,11827,11714,11795,386003
2026-01-20,11825,11825,11785,11800,92310
2026-01-21,11850,12145,11850,11918,795041
2026-01-24,12000,12000,11700,11720,203840
2026-01-25,11799,11799,11711,11713,257234
2026-01-26,11720,11745,11633,11700,157401
2026-01-27,11682,11860,11670,11786,485874
2026-01-28,11823,11823,11710,11791,303632
2026-01-31,11712,11720,11483,11588,352882
2026-02-01,11590,11750,11557,11670,124060
2026-02-02,11658,11999,11420,11420,4079126
2026-02-03,11560,11656,11365,11543,2759448
2026-02-07,11548,11798,11455,11665,1176488
2026-02-08,11640,11650,11400,11400,938275
2026-02-09,11490,11490,11374,11374,752229
2026-02-10,11320,11413,11311,11311,41322
2026-02-14,11378,11545,11378,11436,495486
2026-02-15,11420,11737,11420,11660,804166
2026-02-16,11623,11815,11623,11709,1181942
2026-02-17,11762,11850,11653,11700,1102057
2026-02-18,11793,11793,11580,11669,293183
2026-02-21,11645,11650,11388,11390,505256
2026-02-22,11504,11504,11400,11503,56193
2026-02-23,11455,11455,11400,11454,3133
2026-02-24,11400,11510,11400,11470,38167
2026-02-25,11482,11487,11482,11487,12947
2026-05-02,11829,11829,11829,11829,3419786
2026-05-03,12183,12183,12183,12183,7802836
2026-05-04,12548,12548,12548,12548,14649874
2026-05-05,12924,12924,12924,12924,27682902
2026-05-06,13311,13311,13311,13311,21319147
