date,open,high,low,close,volume
2025-12-03,9961,9990,9942,9952,57474314
2025-12-06,9961,10047,9961,9999,109694441
2025-12-07,10009,10018,9914,9942,48198651
2025-12-08,9942,9980,9885,9914,83483560
2025-12-09,9914,10209,9876,10209,164934033
2025-12-10,10332,10332,10332,10332,14585666
2025-12-13,10637,10637,10028,10409,262097515
2025-12-14,10409,10761,10285,10599,224774435
2025-12-15,10618,10827,10599,10827,192004664
2025-12-16,10846,11065,10570,10713,185977556
2025-12-17,10694,11122,10694,10989,192241369
2025-12-20,11094,11236,11017,11236,95218682
2025-12-21,11284,11512,11236,11350,164140490
2025-12-22,11408,11484,11075,11217,173896652
2025-12-23,11208,11569,11170,11436,173808299
2025-12-24,11484,11703,11484,11684,161606370
2025-12-27,11779,11855,11655,11684,156869921
2025-12-28,11655,11731,11484,11522,177191483
2025-12-29,11522,11560,11265,11265,101506401
2025-12-30,11008,11198,11008,11008,12322577
2025-12-31,10684,11132,10684,10970,181133108
2026-01-04,10856,10960,10599,10599,97363519
2026-01-05,10703,10951,10703,10951,106709594
2026-01-06,11094,11217,11037,11217,109539636
2026-01-07,11246,11274,10846,10846,136679555
2026-01-10,10618,10684,10618,10618,51955155
2026-01-11,10504,10713,10380,10599,112493340
2026-01-12,10694,10808,10656,10770,98010873
2026-01-13,10808,10846,10466,10570,82402134
2026-01-14,10551,10551,10351,10351,31060677
2026-01-18,10390,10637,10390,10608,83915319
2026-01-19,10627,10723,10390,10551,62922592
2026-01-20,10561,10656,10409,10570,47009687
2026-01-21,10589,10894,10561,10894,106375852
2026-01-24,10656,10761,10485,10485,41170044
2026-01-25,10285,10370,10209,10218,27282434
2026-01-26,10095,10161,9980,9980,16648941
2026-01-27,9790,10323,9743,10237,100953796
2026-01-28,10266,10304,10133,10180,58475627
2026-01-31,10228,10323,9933,9933,23890565
2026-02-01,10076,10256,9857,10209,113699355
2026-02-02,10237,10418,10237,10418,108681513
2026-02-03,10437,10542,10161,10256,153873723
2026-02-07,10608,10637,10570,10637,33210428
2026-02-08,10789,10865,10323,10370,123348709
2026-02-09,10370,10418,10247,10247,34083477
2026-02-10,10161,10456,10161,10304,84464370
2026-02-14,10437,10618,10313,10428,123902655
2026-02-15,10485,10799,10390,10799,190973971
2026-02-16,10875,11008,10780,11008,94516579
2026-02-17,11217,11246,11046,11056,74847319
2026-02-18,11255,11350,10865,10865,120503884
2026-02-21,10723,10723,10723,10723,10023367
2026-02-22,10401,10458,10401,10401,39697616
2026-02-23,10410,10547,10256,10360,95420436
2026-02-24,10326,10326,10096,10096,42163646
2026-02-25,10104,10207,9990,10018,81927921
2026-05-02,10429,10429,10429,10429,3500733
2026-05-03,10742,10742,10742,10742,703646
2026-05-04,11063,11063,11063,11063,33691510
2026-05-05,11394,11394,11394,11394,27343963
2026-05-06,11736,11736,11736,11736,3097320
2026-05-09,12088,12088,12088,12088,2080408
2026-05-10,12450,12450,12450,12450,3283729
2026-05-11,12823,12823,12823,12823,3746884
2026-05-12,13208,13208,13208,13208,16273557
2026-05-13,13604,13604,12977,13300,327200797
2026-05-16,13276,13776,13235,13776,143624322
2026-05-17,13960,13960,13801,13960,24604144
2026-05-18,14366,14366,13530,13530,209563546
2026-05-19,13584,13584,13584,13584,1448422
2026-05-20,13176,13299,13176,13187,86719810
2026-05-23,13039,13577,13039,13577,55105049
2026-05-24,13891,13958,13147,13546,101898946
2026-05-25,13637,13637,13206,13340,60224406
2026-05-26,13320,13732,12938,13702,59467930
2026-05-30,13877,13905,13653,13905,26411157
2026-05-31,14224,14279,13986,14062,57227614
2026-06-01,14072,14081,13731,13796,65348197
2026-06-02,13824,13948,13506,13677,47167048
2026-06-03,13519,13749,13434,13586,36099889
2026-06-06,13605,13973,13510,13973,29116639
2026-06-07,14181,14346,14181,14346,32522457
2026-06-08,13888,13888,13888,13888,21428084
2026-06-09,14271,14304,14271,14304,14941135
2026-06-10,14423,14689,13891,14433,102177767
2026-06-13,14866,14867,14866,14867,8809338
2026-06-14,15312,15312,15063,15071,74686267
2026-06-15,15742,15742,15508,15742,36777485
2026-06-16,16127,16127,15259,15259,31968664
2026-06-17,15039,15039,15039,15039,1027101
2026-06-20,14588,15004,14588,14588,45461951
2026-06-21,14208,14452,14208,14208,41785013
2026-06-22,13938,14646,13794,14646,72526827
2026-06-23,14652,14747,13939,14526,64990718
2026-06-27,14526,14829,14310,14829,41999431
2026-06-28,14652,15179,14297,15011,50434522
2026-06-29,15103,15103,14711,14862,45298310
2026-06-30,15033,15098,14671,14771,56179038
2026-07-01,14757,14918,14670,14918,42490035
2026-07-07,14938,15250,14938,15250,26212452
2026-07-08,14909,15175,14746,14746,22205263
2026-07-11,14538,15337,14445,15014,36351783
2026-07-12,14633,15261,14433,14823,100550929
2026-07-13,14890,15218,14729,15166,83280249
2026-07-14,15147,15280,14985,15109,66809683
2026-07-15,15198,15198,14703,14703,42214226
2026-07-18,14389,14459,14389,14389,32246739
2026-07-19,14081,14566,14081,14273,23494387
2026-07-20,14430,14764,14187,14571,51203904
2026-07-21,14652,14929,14652,14928,33221318
2026-07-22,14933,14933,14436,14436,38392359
2026-07-25,14376,14767,14376,14533,26454949
2026-07-26,14805,15019,14805,15019,36677920
2026-07-27,15080,15221,14757,14958,62052818
2026-07-28,14947,15198,14853,14954,51072390
2026-07-29,14871,14927,14721,14742,16872267
2026-08-01,14833,14879,14424,14542,19218150
2026-08-02,14842,15104,14785,14972,45721469
2026-08-03,15127,15408,15127,15377,49588289
2026-08-05,15604,15772,15565,15772,29557062
2026-08-08,16172,16220,16033,16220,36121532
2026-08-09,16275,16275,15703,15703,16997111
2026-08-10,15451,15774,15353,15513,69582834
2026-08-11,15489,15680,15033,15268,37135653
2026-08-15,15384,15384,14830,15079,43268402
