date,open,high,low,close,volume
2026-01-14,149260,150600,148266,148584,36592052
2026-01-18,147420,147588,146051,146480,34133173
2026-01-19,148808,149399,146200,146299,40483073
2026-01-20,146300,147899,145001,147330,37716285
2026-01-21,150600,151999,147000,149550,51975365
2026-01-24,158200,158200,155010,155700,48944004
2026-01-25,155838,157698,154280,157000,45533190
2026-01-26,160700,164998,160601,164511,69337224
2026-01-27,170888,175751,170100,174647,84849042
2026-01-28,188059,188458,180100,181990,175835574
2026-01-31,169010,182597,169010,179400,126078032
2026-02-01,176400,179000,170402,172506,90611511
2026-02-02,165183,167887,157000,161339,125326623
2026-02-03,170200,170921,167979,169992,69443116
2026-02-07,167979,171800,166500,169659,60539547
2026-02-08,172001,178447,172001,178319,65393299
2026-02-09,186000,186850,181202,183000,73599821
2026-02-10,186400,186400,182663,183995,50343695
2026-02-14,182680,183000,179680,181190,47039932
2026-02-15,182000,185550,182000,184797,54381432
2026-02-16,182510,184000,181155,181334,32065901
2026-02-17,181010,185000,176762,181000,54664432
2026-02-18,184200,184499,181951,182633,48305887
2026-02-21,188000,188212,185600,186280,100946077
2026-02-22,185900,186189,184471,186100,34206093
2026-02-23,185000,185600,183120,183402,51055493
2026-02-24,184305,184638,182010,183038,36081425
2026-02-25,185001,185001,179034,180040,39004073
2026-03-15,163612,163612,163612,163612,9623068
2026-03-16,147251,155000,147251,153758,52947491
2026-03-17,151000,163999,151000,163000,96871384
2026-03-18,167140,176089,167140,176089,52941342
2026-03-25,165500,169700,164173,167300,20046853
2026-03-28,169000,171629,166000,166540,17320389
2026-03-29,166512,166512,161000,162820,19532471
2026-03-30,162790,164000,161555,161699,12913877
2026-03-31,164000,164000,163000,163495,15025663
2026-04-04,164500,173680,164010,171380,34685059
2026-04-05,171380,171890,168555,169650,21865886
2026-04-06,170100,171000,169501,170700,16084861
2026-04-07,173000,177410,173000,176010,29936032
2026-04-08,171000,174600,170000,173556,31993891
2026-04-11,170800,170800,166679,167730,25857987
2026-04-12,173700,173700,171030,171200,31714902
2026-04-13,173400,174998,173400,173915,21452665
2026-04-15,170300,171110,169605,169752,26590166
2026-04-18,165000,166699,163690,166470,25252724
2026-04-19,168000,168400,164700,165045,18973809
2026-04-20,165052,165500,163880,164040,19553193
2026-04-21,164153,164153,162881,162957,15102392
2026-04-22,165300,167266,165000,166538,25900410
2026-04-25,166700,166930,165500,165621,16346688
2026-04-26,166400,167288,166400,166938,22576041
2026-04-27,168088,175930,168088,175600,71798676
2026-04-28,181997,187855,181997,186039,109722603
2026-04-29,202755,202755,192500,195220,95140688
2026-05-02,204400,204400,200000,202233,123649327
2026-05-03,206666,206700,202500,204600,109637008
2026-05-04,203000,203000,197989,198750,87962544
2026-05-05,193801,194800,189295,189999,70375515
2026-05-06,193499,193999,183861,188195,100355548
2026-05-09,192000,192200,190000,191400,76141243
2026-05-10,190500,190500,189290,190430,60700888
2026-05-11,194000,197436,193501,197199,55158120
2026-05-12,197464,197490,193400,193691,48169745
2026-05-13,190800,191999,190326,191820,39445900
2026-05-16,188020,189703,187000,188160,39059216
2026-05-17,188001,188399,187038,187320,32470058
2026-05-18,185080,185500,181603,183300,30216975
2026-05-19,183001,183500,180844,181750,27178237
2026-05-20,182000,186110,181750,184988,30170710
2026-05-23,183380,183380,178277,179600,44740338
2026-05-24,171000,173798,170418,173500,53404600
2026-05-25,178999,179500,171762,173678,57034141
2026-05-26,174000,174000,172350,172821,26998574
2026-05-30,171001,171650,169100,171201,57224514
2026-05-31,171000,172620,170800,172620,18120961
2026-06-01,175300,179350,174501,179346,29638899
2026-06-02,178800,178998,176601,176852,40634325
2026-06-03,177942,178450,176130,177500,29091061
2026-06-06,173505,174000,171983,172402,30288991
2026-06-07,174500,177200,174050,176845,23751261
2026-06-08,175747,175747,171700,173610,38587638
2026-06-09,173220,173659,171500,171750,26820955
2026-06-10,169800,171220,169000,170759,28855866
2026-06-13,165690,165690,160400,161158,53013580
2026-06-14,160567,164983,158970,164880,35270716
2026-06-15,155100,160288,155020,158270,38710707
2026-06-16,156771,156771,151140,151530,37437983
2026-06-17,153898,157280,153898,155850,28784457
2026-06-20,160000,160000,154799,157150,29718157
2026-06-21,155100,155100,151412,151935,39564819
2026-06-22,153000,153724,151366,151495,17100500
2026-06-23,151500,152549,150300,151699,18662422
2026-06-27,155500,155500,154000,154256,25795391
2026-06-28,158090,162886,158090,162750,39862620
2026-06-29,159000,159999,157000,157521,38413599
2026-06-30,158500,161370,158033,160090,19927657
2026-07-01,163500,164400,162800,163999,34616779
2026-07-07,167040,169298,166505,168895,23133401
2026-07-08,171711,173984,171160,171800,24742933
2026-07-11,169980,169980,167909,168823,19953197
2026-07-12,170310,171990,169943,170040,18946583
2026-07-13,169882,169882,168560,169300,9583484
2026-07-14,170700,173110,170700,172950,27224368
2026-07-15,178200,179298,177400,178119,30257476
2026-07-18,184000,184000,180969,182782,53421277
2026-07-19,179900,180099,178000,178297,23275713
2026-07-20,172888,174299,171900,172900,23210165
2026-07-21,174100,176200,174010,176112,15303114
2026-07-22,180000,180150,178351,179501,20138550
2026-07-25,176000,176000,174800,175300,16642061
2026-07-26,171835,173800,171750,173490,25628353
2026-07-27,175888,176999,175000,176552,15126397
2026-07-28,176999,178257,175300,175318,16988298
2026-07-29,178100,179100,178100,178590,18858883
2026-08-01,180250,181000,178888,179100,16236321
2026-08-02,175500,177032,174400,176895,17568041
2026-08-03,176200,176895,175981,176281,17939797
2026-08-05,176300,176300,174320,174387,23247525
2026-08-08,179000,179269,177900,178015,26648412
2026-08-09,177500,178739,177500,178000,17457696
2026-08-10,178000,178000,176999,177000,10555413
2026-08-11,178566,181305,178020,181211,26186539
2026-08-15,183300,184046,181900,183351,50903693
2026-08-16,182499,183281,181000,182215,19452518
2026-08-17,182220,183886,182000,183739,20153244
2026-08-18,184201,186200,184201,186195,33618181
2026-08-19,188500,192642,188500,191788,44500409
2026-08-22,200000,203800,198200,202402,90254144
2026-08-23,208588,211500,207000,207494,63771127
2026-08-24,212488,213900,207005,208602,83646062
2026-08-25,209500,209500,198601,201200,91978779
2026-08-26,197999,205569,197599,205007,76930849
2026-08-29,205800,212414,204100,210440,63239139
2026-08-31,211737,217216,210500,216398,54217150
2026-09-01,214500,215499,211040,213018,49174268
2026-09-02,217000,219000,214000,216349,62975244
2026-09-05,221500,222200,220300,221959,60204331
2026-09-06,220000,220000,216000,217436,59955996
2026-09-07,215250,219400,214500,218870,148256135
2026-09-08,220000,223150,219988,221811,28799884
2026-09-09,226000,229950,226000,226690,47060808
2026-09-12,224250,229000,221476,225150,53990145
2026-09-13,222650,222650,220000,220031,59704666
2026-09-14,223998,224000,219723,219950,50053576
2026-09-15,219000,219000,216790,216790,36779422
2026-09-16,221006,221006,218501,219570,33232443
2026-09-19,221970,227030,221970,226998,55625303
2026-09-20,229999,232600,226400,227899,48867716
