date,open,high,low,close,volume
2025-11-16,22017,22018,22017,22017,801879
2025-11-17,22040,22040,22039,22039,26700798
2025-11-18,22061,22062,22061,22062,265309
2025-11-19,22083,22084,22083,22083,25026400
2025-11-22,22106,22107,22106,22106,4182283
2025-11-23,22128,22129,22128,22128,730917
2025-11-25,22154,22154,22153,22153,74670
2025-11-26,22178,22179,22178,22178,216328
2025-11-29,22204,22204,22203,22204,2722788
2025-11-30,22227,22228,22227,22228,28058633
2025-12-01,22251,22252,22251,22251,401832
2025-12-02,22275,22276,22275,22275,111399
2025-12-03,22301,22301,22300,22301,2758966
2025-12-06,22325,22326,22325,22325,102894
2025-12-07,22349,22350,22349,22350,401235
2025-12-08,22374,22374,22373,22373,119660
2025-12-09,22397,22398,22397,22398,177619
2025-12-10,22423,22423,22422,22422,672778
2025-12-13,22448,22448,22447,22448,266599
2025-12-14,22471,22472,22471,22471,589082
2025-12-15,22495,22496,22495,22496,351756
2025-12-16,22520,22520,22519,22519,349178
2025-12-17,22545,22545,22544,22544,45439489
2025-12-20,22570,22570,22569,22569,27466379
2025-12-21,22593,22594,22593,22594,221105
2025-12-22,22618,22618,22617,22618,158869
2025-12-23,22641,22642,22641,22642,73592
2025-12-24,22666,22667,22666,22666,3191348
2025-12-27,22692,22692,22691,22691,440918
2025-12-28,22717,22717,22716,22717,320517
2025-12-29,22741,22742,22741,22741,208045
2025-12-30,22767,22767,22766,22767,14348310
2025-12-31,22793,22794,22793,22793,1575394
2026-01-04,22820,22821,22820,22820,1408321
2026-01-05,22846,22847,22846,22846,5485521
2026-01-06,22873,22873,22872,22872,170580
2026-01-07,22899,22900,22899,22899,262727
2026-01-10,22926,22927,22926,22927,107004859
2026-01-11,22952,22953,22952,22953,271619
2026-01-12,22978,22979,22978,22979,11125301
2026-01-13,23004,23005,23004,23004,315586
2026-01-14,23032,23032,23031,23032,3528824
2026-01-18,23058,23058,23058,23058,557541
2026-01-19,23084,23084,23084,23084,170151
2026-01-20,23111,23111,23110,23110,6420
2026-01-21,23138,23138,23137,23138,15104701
2026-01-24,23165,23166,23165,23166,576037
2026-01-25,23193,23193,23192,23193,70038
2026-01-26,23220,23221,23220,23220,182172
2026-01-27,23249,23249,23248,23249,26028
2026-01-28,23277,23277,23276,23276,3900905
2026-01-31,23304,23305,23304,23304,193077
2026-02-01,23333,23333,23332,23333,74438854
2026-02-02,23361,23361,23361,23361,215039
2026-02-03,23388,23389,23388,23389,178589
2026-02-07,23417,23418,23417,23417,74659
2026-02-08,23445,23446,23445,23446,98124
2026-02-09,23473,23474,23473,23474,4575180
2026-02-10,23502,23502,23501,23501,13001385
2026-02-14,23530,23531,23530,23531,18920826
2026-02-15,23558,23559,23558,23559,14680376
2026-02-16,23587,23587,23586,23586,899490
2026-02-17,23615,23615,23614,23615,127116
2026-02-18,23642,23643,23642,23642,496071
2026-02-21,23666,23667,23666,23666,405796
2026-02-22,23691,23691,23690,23691,2446
2026-02-23,23714,23715,23714,23715,47146297
2026-02-24,23738,23739,23728,23728,4413746
2026-02-25,23764,23764,23764,23764,4822
2026-05-19,23764,23790,23764,23764,1347367
2026-05-20,23785,23789,23750,23785,4781168
2026-05-23,23805,23806,23805,23805,394829
2026-05-24,23826,23827,23826,23826,267354
2026-05-25,23847,23847,23847,23847,679876
2026-05-26,23869,23869,23868,23868,45100
2026-05-30,23889,23890,23888,23888,30085973
2026-05-31,23910,23911,23910,23910,20218952
2026-06-01,23933,23933,23932,23932,216638
2026-06-02,23954,23956,23954,23956,462477
2026-06-03,23976,23977,23976,23977,556435
2026-06-06,23997,23997,23997,23997,1032
2026-06-07,24018,24018,24018,24018,3052084
2026-06-08,24039,24039,24039,24039,45046223
2026-06-09,24061,24061,24060,24061,62786
2026-06-10,24081,24082,24081,24081,518906
2026-06-13,24103,24103,24102,24103,54491
2026-06-14,24123,24124,24123,24124,18315
2026-06-15,24146,24146,24145,24146,47652
2026-06-16,24166,24168,24166,24168,259400
2026-06-17,24188,24189,24185,24189,2337015
2026-06-20,24209,24210,24209,24209,15257
2026-06-21,24230,24231,24230,24231,179922
2026-06-22,24253,24255,24252,24255,373034
2026-06-23,24274,24275,24274,24274,67002
2026-06-27,24298,24298,24297,24297,415120
2026-06-28,24318,24323,24318,24323,847882
2026-06-29,24342,24343,24342,24343,919007
2026-06-30,24363,24364,24363,24363,56016
2026-07-01,24385,24386,24385,24386,50032
2026-07-07,24406,24407,24406,24406,11247
2026-07-08,24427,24433,24427,24427,4392094
2026-07-11,24436,24436,24432,24436,2513246
2026-07-12,24442,24443,24442,24443,1529500
2026-07-13,24449,24450,24449,24450,27269
2026-07-14,24456,24456,24456,24456,210001
2026-07-15,24464,24464,24463,24463,141576
2026-07-18,24470,24471,24470,24471,12431
2026-07-19,24479,24479,24478,24478,879
2026-07-20,24486,24486,24486,24486,100
2026-07-21,24494,24494,24493,24493,1045
2026-07-22,24501,24502,24501,24501,113955
2026-07-25,24510,24510,24509,24509,33998
2026-07-26,24518,24519,24517,24517,132692
2026-07-27,24524,24524,24524,24524,5000
2026-07-28,24531,24532,24531,24531,400210
2026-07-29,24538,24539,24538,24539,4017248
2026-08-01,24546,24548,24545,24548,5082611
2026-08-02,24553,24554,24553,24553,1171225
2026-08-03,24561,24561,24560,24560,28204
2026-08-05,24569,24569,24568,24568,105190
2026-08-08,24576,24576,24575,24575,94858
2026-08-09,24584,24584,24583,24583,168294
2026-08-10,24591,24592,24591,24591,752944
2026-08-11,24598,24599,24598,24598,117997
2026-08-15,24606,24606,24605,24605,78075
2026-08-16,24612,24612,24612,24612,2500
2026-08-17,24620,24620,24619,24619,11402
2026-08-18,24626,24627,24626,24627,72162
2026-08-19,24634,24635,24634,24635,131805
2026-08-22,24641,24642,24641,24642,122701
2026-08-23,24649,24650,24649,24649,49726725
2026-08-24,24656,24657,24656,24656,458072849
2026-08-25,24663,24770,24663,24765,147019319
2026-08-26,24678,24950,24678,24901,184452
2026-08-29,25055,25230,25050,25120,301121
2026-08-31,25238,25238,25153,25238,1273328
2026-09-01,25340,25500,25340,25370,546502
2026-09-02,25250,25250,25080,25249,109553
2026-09-05,25340,25400,25300,25400,527858
2026-09-06,25549,25549,25360,25361,2749
2026-09-07,25700,25700,25600,25625,195410
2026-09-08,25780,25900,25700,25900,740302
2026-09-09,25800,26000,25800,26000,195434012
2026-09-12,26200,26250,25900,26130,117272570
2026-09-13,26300,26400,26300,26379,149394
2026-09-14,26350,26380,26250,26379,280783
2026-09-15,26350,26476,26300,26476,1658015
2026-09-16,26400,26649,26350,26649,196958957
2026-09-19,26600,26600,26351,26352,78002
2026-09-20,26331,26492,26300,26300,116569926
