date,open,high,low,close,volume
2026-01-14,14620,14620,14430,14430,16634084
2026-01-18,14500,14500,14213,14280,13434415
2026-01-19,14550,14560,14260,14276,26468002
2026-01-20,14364,14420,14222,14420,15330212
2026-01-21,14700,14846,14672,14777,90118836
2026-01-24,15350,15501,15191,15231,37365208
2026-01-25,15299,15425,15151,15319,26767475
2026-01-26,15599,16085,15534,15990,27542390
2026-01-27,16510,17300,16340,17007,46463380
2026-01-28,17600,18339,17600,17990,250354715
2026-01-31,16203,17799,16203,17587,45320327
2026-02-01,17200,17600,16900,17040,22136679
2026-02-02,16010,16600,15556,16001,120047503
2026-02-03,16850,16994,16272,16900,45340449
2026-02-07,16613,16820,16330,16632,22668657
2026-02-08,16838,17480,16838,17478,28573512
2026-02-09,18040,18060,17600,17850,58599088
2026-02-10,18090,18090,17786,17795,73386031
2026-02-14,17750,17750,17340,17480,41917532
2026-02-15,17685,17819,17511,17758,33078288
2026-02-16,17648,17652,17410,17426,23002120
2026-02-17,17298,17700,17011,17195,83979289
2026-02-18,17659,17659,17422,17549,66366892
2026-02-21,17885,17976,17736,17736,30988310
2026-02-22,17820,17888,17602,17888,28263345
2026-02-23,17799,17799,17430,17565,25333938
2026-02-24,17669,18338,17535,17639,34940382
2026-02-25,17889,17889,17309,17548,23310643
2026-03-15,15858,15858,15858,15858,1039273
2026-03-16,14273,14840,14273,14793,11533380
2026-03-17,14501,16096,14501,16096,150346347
2026-03-18,16380,16800,16380,16675,18398180
2026-03-25,15623,16180,15623,16118,11988168
2026-03-28,16325,16325,16010,16036,11102634
2026-03-29,16099,16099,15540,15734,6144439
2026-03-30,15700,15880,15640,15706,8560889
2026-03-31,15832,15950,15730,15782,2218975
2026-04-04,15832,16800,15832,16600,23389962
2026-04-05,16705,16830,16623,16724,18029864
2026-04-06,16628,16750,16628,16749,14325634
2026-04-07,16850,17350,16850,17252,36696105
2026-04-08,16760,17100,16760,16864,53413278
2026-04-11,16600,16605,16350,16539,16143393
2026-04-12,16900,16999,16586,16673,35491813
2026-04-13,16798,16899,16736,16849,38298871
2026-04-15,16600,16600,16403,16469,15021621
2026-04-18,15960,16300,15879,16300,29897911
2026-04-19,16480,16480,16082,16150,140345843
2026-04-20,16240,16240,15900,16150,167590089
2026-04-21,16075,16075,15900,16000,36440452
2026-04-22,16190,16420,16125,16307,39028415
2026-04-25,16335,16335,16108,16183,28801563
2026-04-26,16245,16245,16147,16198,65947082
2026-04-27,16225,16950,16225,16950,216223752
2026-04-28,17390,17699,17151,17699,234000569
2026-04-29,19169,19169,18352,18700,262965236
2026-05-02,19190,19300,18900,19172,161940164
2026-05-03,20147,20147,19111,19245,160997794
2026-05-04,19000,19297,19000,19143,153171561
2026-05-05,18500,18698,17951,18200,74202765
2026-05-06,18379,18400,17632,18004,80138971
2026-05-09,18210,18350,18126,18250,30919645
2026-05-10,18017,18168,18017,18121,45774426
2026-05-11,18351,18670,18300,18655,152718438
2026-05-12,18672,18672,18375,18450,85473961
