date,open,high,low,close,volume
2026-01-14,30280,30623,30010,30099,2862204
2026-01-18,29898,30079,29501,29746,1531013
2026-01-19,30250,30250,29603,29805,205079154
2026-01-20,30040,30118,29620,29993,24280665
2026-01-21,30999,31175,30593,30831,20933169
2026-01-24,32640,32700,31669,31803,2034344
2026-01-25,31804,32300,31730,32051,3316148
2026-01-26,32702,33667,32702,33641,4432722
2026-01-27,34860,35777,34323,35629,3061935
2026-01-28,38130,38663,36900,37130,4832637
2026-01-31,33990,37000,33990,36430,3550739
2026-02-01,35757,36400,34813,35263,3461781
2026-02-02,34004,34316,32329,32975,4151377
2026-02-03,34500,35830,34250,34606,5483635
2026-02-07,33350,34889,33350,34365,9597526
2026-02-08,34809,35940,34800,35903,6629004
2026-02-09,37800,37960,36469,36855,6563554
2026-02-10,37579,37579,36701,37147,3979291
2026-02-14,36679,37148,35972,36409,3230238
2026-02-15,36850,37384,36488,37116,3875827
2026-02-16,36999,37097,36400,36440,2253706
2026-02-17,36290,37487,35495,36141,7536327
2026-02-18,36990,36990,36600,36700,1802482
2026-02-21,37977,37977,37239,37445,2619706
2026-02-22,37556,37556,37161,37496,636074
2026-02-23,37140,37815,36315,36860,16301118
2026-02-24,36555,37150,36555,36709,3097256
2026-02-25,37200,37358,36301,36352,8707755
2026-03-15,33261,33993,33261,33261,10131644
2026-03-16,29935,31000,29935,30726,2051549
2026-03-17,30427,33196,30427,33180,1396074
2026-03-18,33900,35020,32349,34989,2199439
2026-03-25,33991,34000,32900,33401,1378668
2026-03-28,33181,34500,33181,33800,5088245
2026-03-29,34990,34990,33150,33400,702871
2026-03-30,32989,34499,32989,33300,1525416
2026-03-31,33366,34274,33300,34000,2055839
2026-04-04,34000,35290,33145,35092,1035712
2026-04-05,34567,35400,34500,34522,911247
2026-04-06,34200,35249,34160,35000,1158305
2026-04-07,35298,36000,35270,36000,1807043
2026-04-08,34678,35700,34185,35700,756100
2026-04-11,34810,34810,33801,34330,999795
2026-04-12,35111,35799,34749,34854,685250
2026-04-13,35120,35620,35111,35190,1036251
2026-04-15,34990,34990,34231,34428,494581
2026-04-18,33320,33770,33000,33550,1324467
2026-04-19,33751,33779,33154,33500,1092879
2026-04-20,33228,33330,32913,33199,881510
2026-04-21,33400,33400,32900,33290,1661815
2026-04-22,33750,33803,33400,33791,3247813
2026-04-25,33106,33811,33106,33550,369757
2026-04-26,33988,33988,33510,33739,1927238
2026-04-27,33754,35494,33753,35400,5574603
2026-04-28,35997,37399,35997,37399,4954714
2026-04-29,39999,40514,38530,40000,4711073
2026-05-02,40596,40899,40301,40537,3082168
2026-05-03,40699,41699,40699,41398,4570141
2026-05-04,41798,41798,40400,40500,15530196
2026-05-05,39449,40398,38001,38279,7973948
2026-05-06,39259,39259,37574,38170,8102172
2026-05-09,38911,38997,38131,38490,4340347
2026-05-10,38216,38489,38089,38350,1750081
2026-05-11,38880,39930,38750,39930,3458615
2026-05-12,39450,39700,39121,39219,2262989
2026-05-13,39110,39110,38506,38808,1269880
2026-05-16,38402,38919,37900,38051,4144763
2026-05-17,38680,38680,37883,38096,7842443
2026-05-18,38125,38125,36890,37097,962984
2026-05-19,37000,37348,36994,37000,1217433
2026-05-20,37987,37987,37151,37511,1127620
2026-05-23,37499,37814,36311,36569,3134630
2026-05-24,35490,35490,34000,35222,1656328
2026-05-25,36300,36569,35006,35226,2922477
2026-05-26,35022,36010,35002,35088,20110522
2026-05-30,35700,35700,34500,34673,2019461
2026-05-31,34600,34999,34510,34972,500050
2026-06-01,35102,36349,35102,36327,1043039
