date,open,high,low,close,volume
2026-01-14,131197,132000,130000,130290,33599071
2026-01-18,129400,129699,128111,128998,33858510
2026-01-19,131970,131977,128500,129195,22409839
2026-01-20,129370,130632,128419,129989,28115598
2026-01-21,132999,134447,132643,132705,43407219
2026-01-24,138461,138899,137211,137989,41591270
2026-01-25,138549,140017,136909,139230,39538350
2026-01-26,142999,146500,142700,146190,53169625
2026-01-27,151100,156200,151100,155249,63279608
2026-01-28,169370,169370,160000,161550,95897702
2026-01-31,148001,161000,148001,158486,74968448
2026-02-01,154070,158995,151306,153000,43419625
2026-02-02,146000,149000,139997,142740,106625407
2026-02-03,148200,151220,148200,149800,61618003
2026-02-07,148959,151660,145001,150400,50418706
2026-02-08,151550,157290,151500,157286,51204963
2026-02-09,163940,164699,159639,161401,50897807
2026-02-10,164467,164880,161051,162178,44798802
2026-02-14,160000,160151,158001,160010,37443468
2026-02-15,161015,163634,160500,162780,27149488
2026-02-16,161499,161898,159475,159740,31805701
2026-02-17,159360,163165,155750,158900,52664212
2026-02-18,162000,162800,160241,160980,23627864
2026-02-21,166666,166666,164000,164200,38719733
2026-02-22,164009,164999,162871,164499,28380886
2026-02-23,163866,163866,161160,161498,20968575
2026-02-24,162750,162750,160010,160334,26073664
2026-02-25,163671,163671,157833,158405,34182609
2026-03-15,144353,144353,144353,144353,6515104
2026-03-16,129918,135950,129918,135301,44262716
2026-03-17,135500,144720,135500,144700,16945850
2026-03-18,150000,155359,147680,153028,30898397
2026-03-25,145000,148405,144579,146597,16371501
2026-03-28,147688,150000,146450,146650,12215559
2026-03-29,147500,147500,141100,143150,12019339
2026-03-30,143555,145510,143377,143650,21790911
2026-03-31,144700,146992,144063,146000,10660261
2026-04-04,150000,153850,146101,152420,21749214
2026-04-05,153359,153359,149368,150411,19756657
2026-04-06,151210,151600,150310,151590,8939753
2026-04-07,152980,157100,152980,156462,20925535
2026-04-08,152129,154676,151100,153910,21505375
2026-04-11,152300,152300,148300,149021,15278195
2026-04-12,153500,154499,152169,152600,17237721
2026-04-13,154499,155900,154499,154898,15886397
2026-04-15,152790,152790,151012,151101,17701020
2026-04-18,147888,148000,146000,147603,37981968
2026-04-19,149591,149727,146400,146790,17853851
2026-04-20,147000,147479,145980,145980,13829968
2026-04-21,145500,145997,145012,145488,11335354
2026-04-22,147990,149246,147010,148599,24331507
2026-04-25,149640,149700,148001,148427,9958443
2026-04-26,149001,149586,148500,149300,18995768
2026-04-27,149880,156333,149880,156174,52597023
2026-04-28,161100,167000,161100,165407,60300964
2026-04-29,178000,179800,171000,172302,66563691
2026-05-02,180101,181600,177101,179550,58053102
2026-05-03,182110,183500,180905,183195,42084564
2026-05-04,182000,182000,177771,178356,50801386
2026-05-05,173900,175899,170000,170632,38741137
2026-05-06,174440,174600,165484,168500,50168438
2026-05-09,171400,172200,169902,170490,57738136
2026-05-10,170000,170000,168800,169643,30291135
2026-05-11,172951,175398,172951,175398,68681145
2026-05-12,175500,175500,172627,172800,27168782
2026-05-13,171888,171888,169862,170680,36691968
2026-05-16,167988,168894,166751,167770,15434956
2026-05-17,167997,168009,166830,166980,18779202
2026-05-18,164850,165217,161500,163003,16304191
2026-05-19,163999,163999,162320,162533,17614692
2026-05-20,162230,167344,162230,164949,37503068
2026-05-23,161651,162500,159000,160205,21724460
2026-05-24,151709,155300,151709,155000,26605289
2026-05-25,159600,160499,153300,154500,19078393
2026-05-26,154510,155399,153218,154011,11997969
2026-05-30,153010,153010,150800,152200,13653611
2026-05-31,152799,153989,151900,153483,11467008
2026-06-01,157010,160205,155480,159799,13543485
2026-06-02,159500,159794,157065,157681,14378575
2026-06-03,157000,158969,157000,158230,8305216
2026-06-06,156471,156471,153200,153399,20631380
2026-06-07,155000,158075,155000,157751,15254689
2026-06-08,156920,156920,153105,154703,17854536
2026-06-09,153302,154648,153100,153105,15920621
2026-06-10,150850,152560,150850,151985,16674810
2026-06-13,144000,146925,142238,143350,33610391
2026-06-14,142100,146499,141172,146450,24929423
2026-06-15,138603,142479,138603,140916,25258546
2026-06-16,139000,139273,134801,135200,28387638
2026-06-17,136580,140550,136580,139315,27770232
2026-06-20,142390,142989,138600,140121,21483841
2026-06-21,138490,138490,135555,136179,11961608
2026-06-22,135759,137340,135195,135212,21025881
2026-06-23,136000,136250,134502,135530,10624659
2026-06-27,138798,138800,137498,137644,9872834
2026-06-28,141145,145500,141000,145499,41147993
2026-06-29,144000,144000,140339,140392,17351829
2026-06-30,141990,143928,141061,142731,10471481
2026-07-01,145250,146750,145100,145999,12168515
2026-07-07,148150,150750,148150,150522,12467751
2026-07-08,153500,155500,152350,152866,16500463
2026-07-11,150502,150860,149555,150188,14684073
2026-07-12,152600,152897,151172,151349,12886773
2026-07-13,150001,150749,149992,150301,16566946
2026-07-14,152500,154244,152020,154150,14804286
2026-07-15,157777,160221,157777,159076,26910825
2026-07-18,166440,166440,161250,163406,26991140
2026-07-19,161667,161667,159060,159457,15852499
2026-07-20,155570,156400,153403,153950,14514233
2026-07-21,155000,157162,155000,157085,11134023
2026-07-22,160551,160555,158500,159900,15742237
2026-07-25,156000,156849,155300,156285,10780819
2026-07-26,153981,155090,152400,154622,15590849
2026-07-27,157000,157499,155519,157290,10261524
2026-07-28,157500,158630,156033,156142,9559792
2026-07-29,158111,159660,158000,158665,24838240
2026-08-01,159980,160487,158875,159196,17240190
2026-08-02,156189,158063,154000,157551,24340516
2026-08-03,158400,158400,157050,157277,14638649
2026-08-05,157280,157280,155639,155720,12478802
2026-08-08,160000,160370,158621,158771,16830287
2026-08-09,158000,159800,158000,158700,28607939
2026-08-10,158720,158910,157501,157673,10773883
2026-08-11,159735,162000,159200,161668,23682056
2026-08-15,162224,165000,162224,164200,18507822
2026-08-16,163146,180183,162040,163470,30713524
2026-08-17,163600,165200,163600,165031,15352352
2026-08-18,165450,167250,165450,167150,17689787
2026-08-19,169000,171869,169000,171801,49744558
2026-08-22,179000,183100,177175,182220,64492293
2026-08-23,187350,190080,186500,186800,47020589
2026-08-24,194000,194000,187290,187782,38704050
2026-08-25,188990,188990,178565,181120,50876947
2026-08-26,177999,185300,177580,184660,34232594
2026-08-29,183399,188997,183100,188752,50089397
2026-08-31,189210,194799,189200,194400,47052985
2026-09-01,194500,194550,188800,190899,29609002
2026-09-02,195200,195900,191853,194100,63036685
2026-09-05,198295,199500,196501,198699,63996692
2026-09-06,197000,197000,193326,194350,39247742
2026-09-07,193360,195934,191142,195649,32118530
2026-09-08,196665,199809,196665,198345,31637636
2026-09-09,201492,205496,201492,202440,34415672
2026-09-12,199990,203930,199360,201387,31646941
2026-09-13,198699,199000,196126,196380,40301311
2026-09-14,199899,199899,196022,196124,23000338
2026-09-15,195000,195000,192800,193000,20429731
2026-09-16,195009,197441,194372,196000,36317985
2026-09-19,198100,203169,198100,203158,37785032
2026-09-20,206011,208100,202501,203490,30812519
