date,open,high,low,close,volume
2026-01-14,743226,749000,738903,739800,2982814
2026-01-18,731000,733370,723000,727171,5187472
2026-01-19,738000,742200,727780,727799,3308403
2026-01-20,727000,734800,722000,732001,2266168
2026-01-21,754022,761200,745010,750001,6301265
2026-01-24,783000,787000,776638,778099,4293098
2026-01-25,778894,785000,772543,782000,3880250
2026-01-26,797501,823000,795500,820300,6021106
2026-01-27,850012,879907,849830,869900,7063612
2026-01-28,951650,951650,902841,914500,6700788
2026-01-31,841000,912990,841000,900499,8988326
2026-02-01,881000,897995,851000,862999,8343304
2026-02-02,830000,839999,791288,806900,9864006
2026-02-03,845000,861000,844000,851005,5179938
2026-02-07,830525,862550,830525,846515,3851716
2026-02-08,859200,888600,859200,887899,4268176
2026-02-09,922500,934600,907700,915890,5770447
2026-02-10,935000,935000,914000,920005,3818018
2026-02-14,916000,916000,894990,903777,3255847
2026-02-15,915000,921000,906000,915849,4760134
2026-02-16,907100,913800,898200,900000,2375532
2026-02-17,898898,915186,875628,891990,5215151
2026-02-18,910200,914998,901500,904900,3092317
2026-02-21,937000,937000,923000,923018,4891618
2026-02-22,922000,925000,915852,924800,2618165
2026-02-23,920640,920860,907750,908337,3061119
2026-02-24,912918,920000,903050,903344,2177951
2026-02-25,913000,931000,890563,891000,5001595
2026-03-15,816841,816841,816841,816841,212180
2026-03-16,735157,764900,735157,754200,4571244
2026-03-17,750001,809000,750001,804778,2949172
2026-03-18,816852,859510,816852,851600,2369471
2026-03-25,800000,826000,800000,820000,1664301
2026-03-28,822000,834500,815085,815270,1607042
2026-03-29,815100,821900,790791,796998,1366904
2026-03-30,801733,809750,797001,797052,1253759
2026-03-31,803500,809000,800803,804000,916127
2026-04-04,806500,850000,805470,842000,2443395
2026-04-05,848000,848000,824506,830551,1495861
2026-04-06,836099,838999,828056,837555,1214425
2026-04-07,844200,870350,844200,863001,1938282
2026-04-08,831107,859997,831107,855001,2946599
2026-04-11,836000,840000,822005,824999,1721957
2026-04-12,853010,860000,840000,842926,1870836
2026-04-13,856050,867000,856050,858903,2262347
2026-04-15,849999,849999,839005,840001,1839468
2026-04-18,818010,824887,812501,824004,6384713
2026-04-19,836172,837800,820038,821504,1913697
2026-04-20,827000,827000,815000,816600,1682207
2026-04-21,815000,817000,810200,811505,1059598
2026-04-22,827880,830000,822003,827790,1868255
2026-04-25,830990,830990,821781,824000,9318394
2026-04-26,826000,829110,825800,826998,3832027
2026-04-27,835000,868700,831200,866979,8150670
2026-04-28,895000,919333,894000,917000,9660075
2026-04-29,990000,990000,946000,959990,11677431
2026-05-02,994500,1020000,980000,993970,14668660
2026-05-03,1010000,1018996,999999,1015094,9518247
2026-05-04,1009477,1009477,985975,987403,5747108
2026-05-05,965999,969362,931700,933000,17389573
2026-05-06,950510,957000,903500,930929,12073423
2026-05-09,950000,952000,936050,939000,11250655
2026-05-10,942000,942000,930100,939505,6729709
2026-05-11,955000,972999,955000,972064,7394343
2026-05-12,979800,979800,958000,958600,3934902
2026-05-13,955000,955000,942802,946550,4347664
2026-05-16,938001,939999,927718,931699,2547500
2026-05-17,934494,936998,926000,928004,1630552
2026-05-18,922500,922500,900968,906900,3201212
2026-05-19,913010,913400,899002,901921,3048162
2026-05-20,909900,923999,908000,917510,2706089
2026-05-23,908002,908002,889797,894590,3807468
2026-05-24,850080,867161,845000,861300,4133436
2026-05-25,898970,898970,857801,863008,4878994
2026-05-26,878900,878900,857190,859400,4211213
2026-05-30,855900,860000,840011,849115,2641578
2026-05-31,850999,856999,850999,856411,2501253
2026-06-01,870002,889500,867600,889500,7547454
2026-06-02,882101,887651,876210,876669,2401436
2026-06-03,875000,882300,874010,880000,1566609
2026-06-06,860501,862999,851774,853500,3043389
2026-06-07,860000,876055,860000,873040,1551381
2026-06-08,870000,870000,851601,860510,1942793
2026-06-09,859000,861999,850000,851515,1826843
2026-06-10,847999,851999,842000,847801,3089611
2026-06-13,828990,828990,795795,800704,2864220
2026-06-14,792700,818966,789500,816874,5006144
2026-06-15,778471,795000,774501,784000,3053918
2026-06-16,774000,774000,747747,747990,2736765
2026-06-17,761000,777000,761000,768001,4363623
2026-06-20,787301,790000,766006,776021,3536390
2026-06-21,770000,770000,749911,751740,1003023
2026-06-22,751741,760000,749958,749980,2967817
2026-06-23,739000,754000,738000,748877,2178431
2026-06-27,769998,769998,760010,761470,1554329
2026-06-28,781000,809200,781000,809020,4803817
2026-06-29,798731,798731,779365,779401,3230934
2026-06-30,786600,799665,779402,793505,2187914
2026-07-01,810000,814990,804000,812000,1834820
2026-07-07,826999,841300,826999,838070,2090066
2026-07-08,846980,867102,846980,850751,3408218
2026-07-11,843997,843997,832100,835774,1189912
2026-07-12,849999,849999,839121,841000,8279364
2026-07-13,835000,839993,830500,837560,3429158
2026-07-14,846098,856630,846098,856000,1850996
2026-07-15,875030,885987,875030,880600,5045214
2026-07-18,909000,912000,892002,902807,4232594
2026-07-19,890000,895990,881002,883450,1848013
2026-07-20,863000,863000,850029,853000,1921110
2026-07-21,866895,873800,860000,871962,1330760
2026-07-22,885300,894498,885300,891302,2670312
2026-07-25,883000,883000,861879,869390,1934271
2026-07-26,852701,861924,848680,861500,2210870
2026-07-27,879000,879000,870000,873960,1975134
2026-07-28,880380,880380,867758,868020,1688265
2026-07-29,885000,887000,880010,883500,1745745
2026-08-01,888890,894899,884090,886503,1747278
2026-08-02,869542,877857,862200,875810,2080255
2026-08-03,875010,878000,866000,873694,1700766
2026-08-05,873694,875000,863030,864300,2107245
