date,open,high,low,close,volume
2026-08-19,10000,10000,10000,10000,1000000000
2026-09-07,10310,10737,10290,10630,335929648
2026-09-08,10752,10900,10659,10777,112556985
2026-09-09,11122,11190,10900,11132,71161127
2026-09-12,11027,11088,10730,10881,153715371
2026-09-13,10701,10800,10624,10719,78830938
2026-09-14,10761,10761,10538,10565,36858241
2026-09-15,10549,10549,10281,10340,41761450
2026-09-16,10405,10499,10366,10390,66268363
2026-09-19,10579,10731,10510,10579,30204304
2026-09-20,10680,10800,10567,10582,82449702
