date,open,high,low,close,volume
2022-01-01,10000.0,10060.0,9999.0,10060.0,1990468.0
2022-01-02,10010.0,10060.0,10001.0,10019.0,2412421.0
2022-01-03,10030.0,10030.0,10000.0,10000.0,1338832.0
2022-01-04,10000.0,10002.0,9970.0,9971.0,3013175.0
2022-01-05,9960.0,10015.0,9940.0,10000.0,967378.0
2022-01-08,9930.0,10030.0,9930.0,10000.0,2004627.0
2022-01-09,9950.0,10000.0,9810.0,9890.0,12367032.0
2022-01-10,9870.0,9890.0,9770.0,9850.0,2702847.0
2022-01-11,9900.0,9920.0,9800.0,9830.0,597313.0
2022-01-12,9810.0,9860.0,9810.0,9850.0,1308449.0
2022-01-15,9830.0,9830.0,9680.0,9690.0,3054537.0
2022-01-16,9700.0,9710.0,9620.0,9660.0,491353.0
2022-01-17,9640.0,9770.0,9580.0,9600.0,2413180.0
2022-01-18,9590.0,9590.0,9360.0,9370.0,2129855.0
2022-01-19,9430.0,9540.0,9420.0,9540.0,1065941.0
2022-01-22,9460.0,9600.0,9410.0,9490.0,860764.0
2022-01-23,9450.0,9450.0,9050.0,9250.0,10445519.0
2022-01-24,9210.0,9300.0,9150.0,9150.0,2378640.0
2022-01-25,9200.0,9200.0,8710.0,9020.0,2962660.0
2022-01-26,9150.0,9470.0,9040.0,9400.0,820806.0
2022-01-29,9290.0,9800.0,9290.0,9590.0,4257780.0
2022-01-30,9680.0,9700.0,9450.0,9560.0,1319298.0
2022-01-31,9510.0,9700.0,9500.0,9670.0,423470.0
2022-02-01,9630.0,9700.0,9600.0,9620.0,364511.0
2022-02-02,9720.0,9720.0,9570.0,9620.0,577062.0
2022-02-05,9610.0,9680.0,9590.0,9600.0,452816.0
2022-02-06,9590.0,9590.0,9400.0,9430.0,854156.0
2022-02-07,9400.0,9590.0,9350.0,9400.0,830320.0
2022-02-08,9400.0,9580.0,9330.0,9380.0,708468.0
2022-02-09,9440.0,9480.0,9420.0,9420.0,117886.0
2022-02-12,9440.0,9440.0,9400.0,9430.0,157001.0
2022-02-13,9550.0,9550.0,9410.0,9420.0,44295.0
2022-02-14,9430.0,9500.0,9410.0,9480.0,184835.0
2022-02-16,9460.0,9500.0,9400.0,9460.0,1120134.0
2022-02-19,9450.0,9450.0,9410.0,9420.0,1467364.0
2022-02-20,9430.0,9470.0,9400.0,9420.0,1089897.0
2022-02-21,9500.0,9650.0,9440.0,9590.0,379964.0
2022-02-22,9560.0,9670.0,9550.0,9650.0,519333.0
2022-02-23,9690.0,9700.0,9580.0,9660.0,328491.0
2022-02-26,9640.0,9660.0,9560.0,9560.0,2523018.0
2022-02-27,9530.0,9650.0,9500.0,9590.0,348394.0
2022-02-28,9580.0,9700.0,9550.0,9580.0,253450.0
2022-03-02,9630.0,9710.0,9590.0,9650.0,896285.0
2022-03-05,9620.0,9850.0,9610.0,9840.0,2297982.0
2022-03-06,9850.0,10120.0,9800.0,10100.0,5196111.0
2022-03-07,10180.0,10500.0,10100.0,10140.0,8833700.0
2022-03-08,10100.0,10190.0,10010.0,10190.0,431110.0
2022-03-09,10200.0,10270.0,10090.0,10180.0,5496662.0
2022-03-12,10150.0,10150.0,9900.0,9990.0,587360.0
2022-03-13,9910.0,9990.0,9820.0,9860.0,878770.0
2022-03-14,9840.0,9950.0,9840.0,9950.0,162313.0
2022-03-15,9980.0,10000.0,9850.0,10000.0,145453.0
2022-03-16,9880.0,10100.0,9880.0,10030.0,3673858.0
2022-03-19,10090.0,10380.0,10070.0,10300.0,6519705.0
2022-03-26,10370.0,10590.0,10300.0,10490.0,1772010.0
2022-03-27,10500.0,10800.0,10410.0,10740.0,6170979.0
2022-03-28,10850.0,11120.0,10650.0,11000.0,10415710.0
2022-03-29,11020.0,11100.0,10830.0,10850.0,1831866.0
2022-03-30,11200.0,11200.0,10700.0,10990.0,13065424.0
2022-04-03,10960.0,11700.0,10960.0,11560.0,5974688.0
2022-04-04,11700.0,11900.0,11400.0,11490.0,7229338.0
2022-04-05,11450.0,11740.0,11350.0,11600.0,8667442.0
2022-04-06,11790.0,11790.0,11330.0,11330.0,3578647.0
2022-04-09,11210.0,11590.0,11200.0,11400.0,2951151.0
2022-04-10,11420.0,11950.0,11420.0,11810.0,2442179.0
2022-04-11,11910.0,11910.0,11610.0,11750.0,3047469.0
2022-04-12,11620.0,11620.0,11100.0,11200.0,3237337.0
2022-04-13,11120.0,11670.0,11070.0,11580.0,6662213.0
2022-04-16,11600.0,11980.0,11530.0,11790.0,4958614.0
2022-04-17,11820.0,11920.0,11310.0,11850.0,6214397.0
2022-04-18,11950.0,12350.0,11880.0,12010.0,5066999.0
2022-04-19,12150.0,12390.0,11890.0,12250.0,7442342.0
2022-04-20,12420.0,12420.0,12080.0,12290.0,14063559.0
2022-04-24,12400.0,12470.0,12140.0,12230.0,4263197.0
2022-04-25,11910.0,12460.0,11910.0,12400.0,1583215.0
2022-04-26,12450.0,12750.0,12390.0,12640.0,7599524.0
2022-04-27,12890.0,12940.0,12600.0,12730.0,3431379.0
2022-04-30,12730.0,12960.0,12730.0,12800.0,3120728.0
2022-05-01,12960.0,13020.0,12830.0,12940.0,5382589.0
2022-05-02,13290.0,13450.0,12980.0,13450.0,5703151.0
2022-05-07,13450.0,14250.0,13450.0,14000.0,8099606.0
2022-05-08,13990.0,14000.0,13810.0,13980.0,4154860.0
2022-05-09,14040.0,14040.0,13380.0,13400.0,3574223.0
