date,open,high,low,close,volume
2025-04-30,10600.0,10870.0,10311.0,10750.0,263812632.0
2025-05-03,10303.0,10303.0,10303.0,10303.0,10772143.0
2025-05-04,9994.0,10100.0,9994.0,9994.0,73417810.0
2025-05-05,10043.0,10205.0,9702.0,9703.0,105420340.0
2025-05-06,9840.0,10044.0,9605.0,10002.0,68910606.0
2025-05-07,10174.0,10188.0,10020.0,10179.0,99978593.0
2025-05-10,9921.0,10000.0,9855.0,9855.0,19134804.0
2025-05-11,9584.0,9687.0,9566.0,9566.0,25995348.0
2025-05-12,9867.0,9867.0,9867.0,9867.0,3906076.0
2025-05-13,10163.0,10163.0,9977.0,10020.0,43920832.0
2025-05-14,9999.0,10180.0,9880.0,10018.0,58203331.0
2025-05-17,10090.0,10233.0,9810.0,9921.0,46910834.0
2025-05-18,9910.0,10101.0,9900.0,10087.0,42779930.0
2025-05-19,9957.0,9957.0,9706.0,9706.0,31809800.0
2025-05-20,9737.0,9737.0,9467.0,9467.0,51657614.0
2025-05-21,9300.0,9330.0,9246.0,9270.0,22304066.0
2025-05-24,9534.0,9534.0,9310.0,9443.0,15280029.0
2025-05-25,9272.0,9328.0,9149.0,9149.0,7228252.0
2025-05-26,9170.0,9337.0,8940.0,9291.0,33214144.0
2025-05-27,9343.0,9420.0,9170.0,9204.0,20028595.0
2025-05-28,9279.0,9308.0,9150.0,9170.0,14907558.0
2025-05-31,9200.0,9370.0,9131.0,9176.0,7601548.0
2025-06-01,9130.0,9236.0,8951.0,8975.0,12454394.0
2025-06-02,9000.0,9145.0,8945.0,8957.0,22450911.0
2025-06-03,8900.0,9070.0,8775.0,8988.0,19175145.0
2025-06-07,8800.0,8900.0,8718.0,8718.0,5425372.0
2025-06-08,8520.0,8732.0,8520.0,8619.0,9106698.0
2025-06-09,8683.0,8683.0,8397.0,8397.0,9970471.0
2025-06-10,8450.0,8490.0,8240.0,8341.0,22313858.0
2025-06-11,8385.0,8390.0,8172.0,8190.0,46419311.0
2025-06-28,8022.0,8022.0,8022.0,8022.0,101868.0
2025-06-29,7782.0,7782.0,7782.0,7782.0,80551.0
2025-06-30,7549.0,7549.0,7549.0,7549.0,331938.0
2025-07-01,7323.0,7323.0,7323.0,7323.0,744181.0
2025-07-02,7104.0,7104.0,7104.0,7104.0,12527305.0
2025-07-07,6921.0,7290.0,6891.0,6891.0,17254412.0
2025-07-08,6701.0,6891.0,6688.0,6688.0,7609270.0
2025-07-09,6432.0,6432.0,6432.0,6432.0,1500519.0
2025-07-12,6360.0,6684.0,6237.0,6286.0,35578224.0
2025-07-13,6230.0,6320.0,6176.0,6201.0,19835940.0
2025-07-14,6170.0,6300.0,5984.0,6101.0,20145810.0
2025-07-15,6060.0,6184.0,6055.0,6119.0,7018561.0
2025-07-16,6190.0,6365.0,6120.0,6365.0,13319857.0
2025-07-19,6543.0,6553.0,6400.0,6510.0,18771064.0
