date,open,high,low,close,volume
2021-02-14,10950.0,10950.0,9600.0,9795.0,6679651.0
2021-02-15,9612.0,9900.0,9001.0,9720.0,9328847.0
2021-02-16,9100.0,9100.0,9100.0,9100.0,22819.0
2021-02-27,9099.0,9350.0,8805.0,9000.0,947506.0
2021-02-28,8300.0,9540.0,8300.0,9300.0,7404104.0
2021-03-01,9300.0,9670.0,9100.0,9503.0,4228812.0
2021-03-02,9430.0,9587.0,9283.0,9400.0,1934877.0
2021-03-03,9301.0,9750.0,9301.0,9509.0,2594091.0
2021-03-06,9593.0,9720.0,9509.0,9634.0,1164984.0
2021-03-07,9750.0,9900.0,9636.0,9810.0,1276257.0
2021-03-08,9715.0,9838.0,9512.0,9530.0,1094320.0
2021-03-09,9500.0,9550.0,9230.0,9500.0,1400620.0
2021-03-10,9498.0,9498.0,9304.0,9403.0,691775.0
2021-03-13,9350.0,9598.0,9128.0,9491.0,2986047.0
2021-03-14,9304.0,9519.0,9201.0,9358.0,1022707.0
2021-03-15,9300.0,9600.0,9300.0,9425.0,1271808.0
2021-03-16,9357.0,9589.0,9357.0,9429.0,569174.0
2021-03-17,9420.0,9468.0,9348.0,9420.0,582281.0
2021-03-27,9480.0,9480.0,9311.0,9391.0,333190.0
2021-03-28,9391.0,9392.0,9268.0,9301.0,340385.0
2021-03-30,9113.0,9329.0,9113.0,9267.0,825531.0
2021-03-31,9310.0,9310.0,9241.0,9300.0,1009275.0
2021-04-03,9300.0,9320.0,9210.0,9279.0,626209.0
2021-04-04,9200.0,9310.0,9180.0,9281.0,695014.0
2021-04-05,9202.0,9398.0,9202.0,9310.0,347583.0
2021-04-06,9240.0,9445.0,9240.0,9317.0,331725.0
2021-04-07,9200.0,9350.0,9200.0,9330.0,1187243.0
2021-04-10,9300.0,9330.0,8550.0,9330.0,323604.0
2021-04-11,9250.0,9397.0,9250.0,9397.0,279797.0
2021-04-12,9330.0,10235.0,9255.0,10235.0,5117117.0
2021-04-13,10700.0,10700.0,9830.0,10310.0,3095046.0
2021-04-14,10002.0,10999.0,10001.0,10610.0,4517744.0
2021-04-17,10610.0,10700.0,10210.0,10245.0,1884348.0
2021-04-18,10206.0,10500.0,10078.0,10217.0,661745.0
2021-04-19,10200.0,10985.0,10150.0,10750.0,1648284.0
2021-04-20,10880.0,10999.0,10750.0,10750.0,1007740.0
2021-04-21,10867.0,10950.0,10505.0,10690.0,522471.0
2021-04-24,10700.0,10760.0,10401.0,10489.0,331540.0
2021-04-25,10401.0,10401.0,9980.0,9980.0,664414.0
2021-04-26,10000.0,10000.0,9706.0,9869.0,747103.0
2021-04-27,9999.0,10180.0,9631.0,9700.0,687982.0
2021-04-28,9625.0,9736.0,9450.0,9521.0,412796.0
2021-05-01,9432.0,9590.0,9300.0,9317.0,270443.0
2021-05-02,9317.0,9329.0,9112.0,9197.0,154791.0
2021-05-03,9154.0,9154.0,8712.0,8990.0,263362.0
2021-05-05,8822.0,9250.0,8822.0,9101.0,300597.0
2021-05-08,9101.0,9101.0,8900.0,9050.0,117301.0
2021-05-09,8861.0,8861.0,8801.0,8820.0,48848.0
2021-05-10,8761.0,9441.0,8750.0,9096.0,214203.0
2021-05-11,9000.0,9056.0,8800.0,8800.0,173545.0
2021-05-12,8731.0,8967.0,8700.0,8700.0,124631.0
2021-05-15,8534.0,8873.0,8534.0,8720.0,59837.0
2021-05-16,8611.0,8769.0,8600.0,8688.0,90652.0
2021-05-17,8688.0,8938.0,8560.0,8700.0,140091.0
2021-05-18,8860.0,8860.0,8533.0,8554.0,74049.0
2021-05-19,8778.0,8778.0,8520.0,8661.0,116287.0
2021-05-22,8531.0,8700.0,8312.0,8600.0,130114.0
2021-05-23,8256.0,8690.0,8256.0,8557.0,107309.0
2021-05-24,8400.0,8605.0,8400.0,8525.0,135067.0
2021-05-25,8230.0,8690.0,8230.0,8514.0,153248.0
2021-05-26,8423.0,8610.0,8218.0,8320.0,298646.0
2021-05-29,8430.0,8770.0,8273.0,8769.0,221089.0
2021-05-30,8621.0,8898.0,8304.0,8440.0,198569.0
2021-05-31,8314.0,8480.0,8314.0,8400.0,174238.0
2021-06-01,8407.0,8675.0,8403.0,8510.0,140126.0
2021-06-02,8156.0,8820.0,8156.0,8600.0,244639.0
2021-06-07,8521.0,8619.0,8427.0,8510.0,98375.0
2021-06-08,8510.0,8669.0,8430.0,8456.0,147761.0
2021-06-09,8500.0,8600.0,8402.0,8450.0,100986.0
2021-06-12,8441.0,8666.0,8441.0,8520.0,75629.0
2021-06-13,8473.0,8484.0,8300.0,8436.0,193344.0
2021-06-14,8300.0,8596.0,8300.0,8450.0,139000.0
2021-06-15,8321.0,8410.0,8321.0,8347.0,113031.0
2021-06-16,8477.0,8600.0,8326.0,8600.0,588043.0
2021-06-19,8447.0,9023.0,8447.0,8980.0,253816.0
2021-06-20,8980.0,8980.0,8317.0,8760.0,116608.0
2021-06-21,8512.0,8800.0,8512.0,8663.0,49998.0
2021-06-22,8600.0,9000.0,8600.0,8859.0,58994.0
2021-06-23,8700.0,8830.0,8604.0,8800.0,122767.0
2021-06-26,8982.0,8982.0,8690.0,8850.0,111247.0
2021-06-27,8800.0,8909.0,8695.0,8799.0,93386.0
2021-06-28,8668.0,9350.0,8668.0,9091.0,535462.0
2021-06-29,8850.0,9350.0,8850.0,9271.0,303222.0
2021-06-30,9250.0,9400.0,9101.0,9300.0,1093425.0
2021-07-03,9102.0,9250.0,9000.0,9240.0,158942.0
2021-07-04,9000.0,9397.0,9000.0,9300.0,248434.0
2021-07-05,9112.0,9500.0,9112.0,9263.0,95365.0
2021-07-06,9321.0,9484.0,9101.0,9241.0,319728.0
2021-07-07,9300.0,9339.0,9000.0,9240.0,438382.0
2021-07-10,9035.0,9350.0,9035.0,9350.0,257111.0
2021-07-11,9080.0,9330.0,9080.0,9250.0,141556.0
2021-07-12,9215.0,9340.0,9215.0,9300.0,187656.0
2021-07-13,9250.0,9400.0,9250.0,9312.0,166719.0
2021-07-14,9209.0,9400.0,9209.0,9400.0,348991.0
2021-07-17,9300.0,9400.0,9238.0,9400.0,422665.0
2021-07-18,9212.0,9400.0,9212.0,9295.0,154914.0
2021-07-19,9260.0,9300.0,9225.0,9297.0,90589.0
2021-07-26,9297.0,9470.0,9157.0,9309.0,377074.0
2021-07-27,9300.0,9389.0,9233.0,9333.0,383895.0
2021-07-28,9250.0,9988.0,9248.0,9670.0,614969.0
2021-07-31,9978.0,9978.0,9700.0,9900.0,559418.0
